snap(-45,-33,-16)
sky(191,227,255)
fog(199,211,240)
clouds(255,255,255,3,-1437)
ground(192,188,212)
texture(0,82,255,31)
fadefrom(5000)
density(5)
mountains(83589)
nlaps(1)
soundtrack(purple_dream_5.mod,234,64)
lightson()

set(47,0,0,0)p
set(10,0,5600,0)p
fix(41,0,12800,-2000,0)
set(10,0,11200,0)
set(26,0,9475,0)pr
set(10,0,16800,0)
chk(40,0,17075,0)
set(14,0,21350,0)pt
set(22,2310,21350,90)p
set(18,5670,21350,90)
set(18,11270,21350,90)
set(36,9270,23160,0)
set(36,7310,23160,0)ph
set(19,15820,21350,-90)pt
set(18,15820,16800,180)
set(36,18357,15374,-90)
set(36,18357,17334,-90)ph
set(25,17274,17334,-90)
set(25,17274,15374,-90)
set(18,15820,11200,0)p
set(36,18357,13414,-90)
set(25,17274,13414,-90)
set(21,15820,5600,0)p
set(15,15820,0,0)
chk(42,15820,1483,0)
set(16,15820,-5600,0)p
set(44,15820,-11200,0)
set(35,16060,-10080,0)
set(35,15610,-12270,0)pr
set(43,15820,-16800,180)p
set(44,15820,-22400,180)
set(34,15820,-22460,0)pr
set(15,15820,-28000,0)p
set(20,15820,-33600,180)p
set(10,15820,-39200,180)
chk(40,15820,-37160,0)
set(14,15820,-43750,180)pt
set(45,10761,-43750,90)p
set(46,6281,-43750,90)p
set(45,1801,-43750,-90)p
set(10,-4308,-43750,-90)
set(31,-10417,-43750,90)pr
set(10,-20832,-43750,90)
set(37,-21220,-43750,-90)
set(10,-31421,-43750,90)
set(30,-25312,-43750,-90)pl
set(14,-35971,-43750,90)
chk(40,-34221,-43750,90)
set(11,-35971,-39200,0)p
set(13,-37491,-33570,30)
chk(40,-39011,-30740,0)
set(12,-37491,-27910,150)p
set(10,-35971,-22280,0)p
set(38,-35971,-23204,0)
set(38,-35971,-21776,0)
set(10,-35971,-16680,0)
set(27,-35971,-13880,0)pr
set(38,-35971,-20360,0)
set(38,-35971,-18680,0)
set(38,-35971,-16944,0)
set(10,-36400,-2435,180)p
set(10,-36400,3165,180)p
set(49,-35700,1765,180)
