
name(Let the Dream Begin)

snap(20,0,-30)
sky(191,228,255)
fog(207,211,197)
clouds(189,220,241,0,-781)
ground(197,197,185)
texture(255,131,0,27)
fadefrom(5000)
density(3)
mountains(851)

nlaps(3)

set(48,0,0,0)p
set(15,0,5600,180)p
set(15,0,11200,180)
chk(42,0,11200,0)
set(15,0,16800,0)p
set(15,0,22400,0)
set(34,0,22400,0)pr
set(15,0,28000,0)p
set(15,0,33600,1800)p
set(15,0,39200,0)p
set(17,0,43750,-90)pt
set(15,-4550,43750,90)p
set(33,-4550,43750,90)
set(15,-10150,43750,-90)p
set(33,-10150,43750,-90)
set(15,-15750,43750,-90)p
set(33,-15750,43750,-90)
set(15,-21350,43750,90)p
set(17,-25900,43750,90)pt
set(15,-25900,48300,0)
chk(42,-25900,48300,0)
set(17,-25900,52800,0)pt
set(15,-21350,52800,90)p
set(15,-15750,52800,-90)p
set(15,-10150,52800,-90)p
set(15,-4550,52800,90)
set(35,-4550,52800,-90)pr
set(15,1050,52800,90)p
set(20,6650,52800,-90)p
set(10,12250,52800,-90)
chk(40,12250,52800,90)
set(14,16800,52800,-90)pt
set(10,16800,48250,0)p
set(10,16800,42650,180)p
set(10,16800,37050,180)p
set(10,16800,31450,0)
set(26,16800,31450,180)pr
fix(41,16800,27450,-1500,0)
set(10,16800,25850,0)p
set(10,16800,20250,0)p
set(10,16800,15755,0)p
set(10,16800,11260,0)p

set(13,18320,5630,30)p
set(10,19840,0,0)
chk(40,19840,-1400,0)
set(14,19840,-4550,180)pt
set(10,15750,-4550,90)
set(28,15926,-4550,90)pr
set(10,10150,-4550,90)p
set(20,4550,-4550,-90)p
set(17,0,-4550,90)pt

set(23,8400,42800,180)
set(10,8400,40000,0)
set(10,8400,34400,180)
set(10,8400,28800,0)
set(10,8400,23200,0)
set(10,8400,17600,0)
set(10,8400,12000,0)
set(10,8400,6400,0)
set(23,8400,3600,0)
set(26,8400,34400,180)
set(26,8400,33200,0)
set(26,8400,13200,180)
set(26,8400,12000,0)

set(24,-12950,37200,0)
set(16,-12950,34400,180)
set(15,-12950,28800,0)
set(15,-12950,23200,0)
set(16,-12950,17600,180)
set(15,-12950,12000,180)
set(16,-12950,6400,0)
set(15,-12950,800,0)
set(24,-12950,-2000,180)

set(68,-4000,14650,0)
set(68,5950,-925,90)
set(68,-16575,7200,180)
set(68,-8375,-1975,-90)
set(68,-17425,49300,0)
set(68,8900,45425,90)
set(68,19700,23650,180)
set(69,15675,125,0)
set(69,4100,6525,90)
set(69,-6275,49775,180)
set(69,-21625,40000,-90)
set(69,5975,55175,0)
set(69,11575,40100,90)
set(66,4625,41250,180)
set(66,12800,30450,-90)
set(66,13425,24425,0)
set(66,2300,13125,90)
set(66,-4825,800,180)
set(66,-16600,12375,-90)
set(66,-6725,29800,0)
set(66,-20075,40550,90)
set(66,-18350,55375,180)
set(66,19075,46750,-90)
set(66,18950,8400,0)
set(66,10800,4300,90)
set(67,4050,2125,180)
set(67,14775,-300,-90)
set(67,15250,12375,0)
