
name(Arrested by the Man)

snap(20,-20,15)
sky(199,233,255)
fog(196,214,207)
clouds(198,255,236,3,-1156)
ground(192,204,195)
texture(0,133,255,37)
fadefrom(5000)
density(6)
mountains(99240)

nlaps(4)

set(47,0,0,0)p
set(10,0,5600,0)p
set(29,0,10564,0)pr
set(10,0,15528,0)p
set(10,0,21128,180)p
set(10,0,26728,0)p
set(32,350,22400,0)
set(14,0,31278,-90)pt
set(10,-4550,31278,90)
chk(40,-6000,31278,90)
set(14,-9100,31278,90)
set(14,-9100,34778,0)pt
set(10,-4550,34778,90)p
set(20,1050,34778,90)
set(26,-1000,34778,-90)pr
set(15,6650,34778,90)p
set(15,12250,34778,-90)p
set(15,17850,34778,-90)p
set(33,10000,34778,90)
set(33,14500,34778,90)
set(15,23450,34778,90)
chk(42,25950,34778,90)
set(17,28000,34778,-90)pt
set(15,28000,30228,180)p
set(15,28000,24628,180)
set(34,28000,24628,0)pr
set(15,28000,19028,0)p
fix(41,28000,22000,-1700,0)
set(20,28000,13428,180)p
set(10,28000,7828,0)p
set(14,28000,3278,180)pt
set(10,23450,3278,90)
chk(40,23450,3278,90)
set(12,17820,4798,60)p
set(23,14990,6318,-90)p
set(32,14000,5900,90)
set(32,14000,6736,90)
set(23,10910,7110,90)p
set(12,8080,8630,60)p
set(14,3500,10150,0)pt
set(10,3500,5600,180)p
set(10,3500,0,0)
chk(40,3500,-1450,0)
set(14,3500,-4550,180)
set(14,0,-4550,90)pt


set(17,4000,14450,90)
set(44,4000,19000,180)
set(44,4000,24600,0)
set(17,4000,29150,0)
set(44,8550,29150,90)
set(43,14150,29150,-90)
set(44,19750,29150,-90)
set(17,24300,29150,-90)
set(44,24300,24600,0)
set(44,24300,19000,180)
set(17,24300,14450,180)
set(44,19750,14450,-90)
set(43,14150,14450,90)
set(44,8550,14450,90)

set(23,14150,21800,-90)
set(23,14150,21800,90)
set(37,14750,21800,90)
set(37,13650,21800,90)
set(23,13000,9000,-90)
set(23,13000,9000,90)
set(37,13700,9000,90)
set(37,12300,9000,90)
set(23,15500,3300,-90)
set(23,15500,3300,90)
set(37,16200,3300,90)
set(37,14800,3300,90)
set(23,6000,5600,180)
set(23,6000,5600,0)
set(37,6000,5000,90)
set(37,6000,6200,90)
set(23,-2100,33028,-90)
set(23,-2100,33028,90)
set(37,-1500,33028,0)
set(37,-2700,33028,0)


set(65,1850,1625,0)
set(65,-4975,8850,90)
set(65,1800,18750,180)
set(65,10225,24250,-90)
set(65,19675,17325,0)
set(65,-7625,27475,90)
set(65,19775,31950,180)
set(65,29925,16650,-90)
set(65,18825,9275,0)
set(66,-1825,5775,90)
set(66,3525,13800,180)
set(66,-3450,21025,-90)
set(66,-9075,24425,0)
set(66,-3225,29800,90)
set(66,4125,31725,180)
set(66,21125,36625,-90)
set(66,30075,27425,0)
set(66,21425,27250,90)
set(66,10925,18425,180)
set(66,25575,10225,-90)
set(66,6000,-2275,0)
set(68,-2300,-2775,90)
set(68,10375,11800,180)
set(68,-4525,25025,-90)
set(68,6500,36925,0)
set(68,18650,19225,90)
set(68,22750,10650,180)
set(69,10750,-75,0)
set(69,18325,24775,90)
set(69,12325,31275,180)
set(69,25150,29275,-90)
set(69,26200,16975,0)
set(70,1900,7025,180)
set(70,-2300,14050,-90)
set(70,-6925,19600,0)
set(70,3750,30475,90)
set(70,15825,36625,180)
set(70,11300,22200,-90)
set(71,17725,26800,0)
set(71,29975,20175,90)
set(71,26175,7775,180)
set(72,29925,6125,-90)
set(71,9250,3850,0)
set(72,7700,18525,-90)
set(72,18325,-1675,0)
set(71,20975,-2725,90)
set(69,15000,11450,90)
set(68,30150,34525,180)
set(70,-6575,36350,-90)
pile(9704,3,2,-2800,-50)
pile(2696,2,4,-2575,1050)
pile(3256,2,4,-3100,975)
pile(3932,2,4,-2450,4400)
pile(4027,2,4,-2525,3825)
pile(2613,2,4,1800,5325)
pile(2825,2,4,1900,-875)
pile(3960,2,4,5050,2225)
pile(790,2,4,9900,1525)
pile(1941,2,4,8975,450)
pile(2855,2,4,7650,1125)
pile(3708,4,6,7975,-225)
