snap(15,15,-20)
sky(197,209,255)
fog(207,190,179)
clouds(208,175,230,7,-1500)
ground(201,186,167)
texture(255,122,0,41)
fadefrom(6000)
density(4)
mountains(35563)

name(Twisted Revenge)
nlaps(10)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(26,0,11200,0)pr
set(13,-1520,16830,30)
chk(40,-3040,19660,0)
set(12,-1520,22490,-30)p

set(10,0,28120,0)p
set(14,0,32670,-90)pt
set(20,-4550,32670,-90)p
set(15,-10150,32670,-90)p
set(15,-15750,32670,-90)
set(35,-15950,32670,-90)pr
set(15,-21350,32670,90)p
set(15,-26950,32670,90)p
set(35,-24400,32670,-90)
chk(42,-28950,32670,90)
set(17,-31500,32670,0)pt
set(15,-31500,28120,0)p
set(15,-31500,22520,180)p
set(15,-31500,16920,0)p
set(15,-31500,11320,0)

set(35,-31000,12170,180)
set(35,-32000,12170,0)pr
set(15,-31500,11320,0)
set(20,-31500,5720,180)p
set(13,-29980,90,30)p
set(10,-28460,-5540,0)
chk(40,-28460,-5540,0)
set(13,-26940,-11170,30)p
set(10,-25420,-16800,180)
chk(40,-25420,-16800,0)
set(14,-25420,-21350,90)pt
set(10,-20870,-21350,90)p
set(23,-18070,-21350,90)
set(32,-17070,-21700,-90)pr
set(23,-12950,-21350,-90)p
set(10,-10150,-21350,-90)p
set(10,-4550,-21350,90)
chk(40,-4550,-21350,90)
set(14,0,-21350,180)pt
set(10,0,-16800,0)p
set(10,0,-11200,0)p
set(10,0,-5600,0)
set(26,0,-2800,0)pr


set(23,-15510,-18500,0)
set(10,-15510,-15700,180)po
set(20,-15510,-10100,180)p
set(15,-15510,-4500,180)p
set(15,-15510,1100,0)p
set(16,-15510,6700,0)p
fix(41,-15510,6700,-2000,0)s
set(15,-15510,12300,0)p

set(34,-15510,10500,0)
set(34,-15510,2900,180)

set(15,-15510,17900,0)
set(15,-15510,23500,0)
set(24,-15510,26300,0)po


set(24,-7755,26300,0)
set(44,-7755,23500,0)
set(43,-7755,17900,0)
set(43,-7755,12300,180)
set(43,-7755,6700,180)
set(43,-7755,1100,0)
set(43,-7755,-4500,180)
set(44,-7755,-10100,180)
set(24,-7755,-12900,180)


set(24,-23505,26300,0)
set(15,-23505,23500,0)
set(16,-23505,17900,0)
set(15,-23505,12300,0)
set(16,-23505,6700,0)
set(16,-23505,1100,0)
set(15,-23505,-4500,0)
set(24,-23505,-7300,180)


set(65,-3770,-9026,0)
set(65,-454,19102,90)
set(65,-11338,23908,180)
set(65,-26582,25204,-90)
set(65,-30994,-1956,0)
set(65,-19806,-8454,90)
set(65,-12390,-17696,180)
set(66,-28332,30134,-90)
set(66,-19602,22862,0)
set(66,-2338,27200,90)
set(66,-2368,9130,180)
set(66,-12326,3064,-90)
set(66,-19200,-4566,0)
set(66,-30930,-10950,90)
set(66,-18956,-15316,180)
set(67,-2540,13530,-90)
set(67,-10412,30752,0)
set(67,-18328,20665,90)
set(67,-12589,17228,180)
set(67,-27762,18854,-90)
set(67,-25510,-7454,0)
set(67,-28874,-16168,90)
set(67,-5181,-15100,180)
set(68,-2639,2661,-90)
set(68,-23824,29097,90)
set(68,-29471,2621,180)
set(68,-19559,-11925,-90)
set(68,-11899,-2467,0)
set(68,-3316,-17192,90)
set(69,-8464,-19568,180)
set(69,1560,5940,-90)
set(69,-19312,20216,180)
set(69,-19416,34704,-90)
set(65,-5920,34540,0)
set(65,-27284,13220,90)
set(65,-18700,14948,180)
set(65,-19900,500,-90)
set(65,-3750,-23450,0)
set(69,1868,-6908,0)
set(68,-19796,-22992,0)
set(69,-10172,26896,180)
set(69,-29180,-13964,-90)
set(65,1720,-14688,90)
set(65,-12520,-7708,180)
pile(873,3,4,-4276,-3909)
pile(810,5,5,-4424,-5056)
pile(4446,5,4,-3980,-2910)
pile(1667,2,4,-3277,-4464)
pile(1563,2,4,-4868,-2059)
pile(1232,2,4,-4759,6144)
pile(3005,2,4,-3686,5774)
pile(3101,2,4,-2317,6514)
pile(9353,2,4,1827,2481)
pile(1543,2,4,1420,3295)
pile(3813,2,4,1531,-4253)
pile(2492,2,4,2012,-5141)
pile(1256,2,4,-3241,13764)
pile(3759,2,4,-4092,13505)
pile(1824,2,4,-3981,15318)
pile(6680,3,3,-4203,16798)
pile(8463,3,3,-4869,14430)
pile(2723,3,3,-4831,29331)
pile(6332,2,2,-4165,28406)
pile(4477,2,2,-3536,29701)
pile(7706,2,2,-3277,28184)
pile(3794,2,2,-19684,27130)
pile(9947,2,2,-19018,26242)
pile(1392,5,2,-19351,25021)
pile(6026,5,2,-20313,25983)
pile(2044,5,2,-19462,23393)
pile(9268,5,2,-11352,9208)
pile(1358,5,2,-12055,10836)
pile(9078,3,5,-10029,19965)
pile(6467,3,5,-10954,19188)
pile(2311,3,5,-13104,20517)
pile(4794,3,5,-11846,20110)
pile(8573,3,5,-12754,8741)
pile(267,2,3,-20461,19183)
pile(8564,2,3,-20017,14299)
pile(5667,2,3,-20246,17077)
pile(1663,2,3,-18556,16830)
pile(7729,5,3,-19748,9170)
