
name(The Stretch)

snap(22,-5,-30)
sky(199,225,255)
fog(184,214,247)
clouds(199,226,255,0,-1500)
ground(203,204,200)
texture(0,10,255,55)
fadefrom(7000)
density(3)
mountains(34588)

nlaps(1)

set(23,0,-2800,0)
set(47,0,0,0)p
set(10,0,5600,180)p
set(10,0,11200,0)p
set(28,0,16164,0)pr
set(10,0,21128,0)p
set(20,0,26728,180)p
set(15,0,32328,0)p
set(15,0,37928,0)p
set(15,0,43528,0)
set(34,0,43528,0)pr
set(15,0,49128,0)p
set(15,0,54728,180)p
set(15,0,60328,180)p
set(15,0,65928,0)
chk(42,0,65928,0)
set(20,0,71528,0)p
set(10,0,77128,180)p
set(29,0,82092,180)pr
set(10,0,87056,180)p
set(20,0,92656,180)p
set(44,0,98256,180)p
set(43,0,103856,180)p
set(43,0,109456,0)p
set(43,0,115056,0)
set(35,0,115056,0)pr
set(43,0,120656,0)p
set(43,0,126256,0)p
set(44,0,131856,0)p
set(15,0,137456,0)
chk(42,0,134656,0)

set(15,0,143056,0)p
set(33,0,143056,0)
set(15,0,148656,0)p
set(33,0,148656,0)
set(15,0,154256,0)p
set(33,0,154256,0)
set(24,0,157056,0)


set(23,-3040,161570,0)
set(23,3040,161570,0)

set(10,-3040,164370,0)
set(38,-3040,164370,0)
set(10,3040,164370,0)
chk(40,3040,164370,0)

set(12,-1520,170000,-30)
set(13,1520,170000,30)p

set(10,0,175630,0)p
set(10,0,181230,180)p
set(10,0,186830,0)
set(27,0,186830,0)pr
fix(41,0,189830,-1600,0)
set(10,0,192430,0)p
set(10,0,198030,0)p
set(10,0,203630,180)p

set(23,-3000,209000,-90)
set(23,-3000,209000,90)
set(37,-3600,209000,0)
set(37,-2400,209000,0)

set(23,3000,209000,-90)
set(23,3000,209000,90)
set(37,3600,209000,0)
set(37,2400,209000,0)

set(23,-1700,217000,0)
set(23,-1700,217000,180)
set(37,-1550,217600,0)
set(37,-1850,216400,0)

set(23,-2700,225000,0)
set(23,-2700,225000,180)
set(37,-2550,225600,0)
set(37,-2850,224400,0)

set(23,-1700,233000,0)
set(23,-1700,233000,180)
set(37,-1550,233600,0)
set(37,-1850,232400,0)

set(23,1700,217000,0)
set(23,1700,217000,180)
set(37,1550,217600,0)
set(37,1850,216400,0)

set(23,2700,225000,0)
set(23,2700,225000,180)
set(37,2550,225600,0)
set(37,2850,224400,0)

set(23,1700,233000,0)
set(23,1700,233000,180)
set(37,1550,233600,0)
set(37,1850,232400,0)


set(45,0,209739,0)p
set(46,0,214219,0)
set(46,0,219819,0)
set(46,0,225419,0)
set(45,0,229899,180)p
set(10,0,236008,0)
chk(40,0,235000,0)

set(10,0,241608,0)p
set(10,0,247208,180)p
set(10,0,252808,180)p
set(10,0,258408,0)
set(26,0,258408,0)pr
set(10,0,264008,0)p
set(10,0,269608,180)p
set(10,0,275208,180)p
set(10,0,280808,0)
set(32,350,277808,0)
set(32,-350,274808,0)
chk(40,0,280808,0)
set(10,0,286408,0)p
set(10,0,292008,0)p
set(10,0,297608,180)
set(26,0,298608,0)pr
set(23,0,300408,180)

set(23,0,310000,0)
set(30,0,311680,180)p
set(10,0,317789,0)p
set(20,0,323389,180)p
set(44,0,328989,180)p
set(43,0,334589,0)p
set(34,0,334589,180)p
set(43,0,340189,0)p
set(43,0,345789,0)p
set(43,0,351389,180)p
set(43,0,356989,0)p
set(33,0,356989,180)
set(43,0,362589,180)p
set(33,0,362589,0)
set(44,0,368189,0)p
chk(42,0,370189,0)
set(15,0,373789,0)
set(15,0,379389,0)p
set(15,0,384989,0)p
set(15,0,390589,0)
set(34,0,390589,0)
set(20,0,396189,0)p
set(23,0,398989,180)
chk(40,0,399989,0)

set(23,2800,407000,90)p
set(10,0,407000,90)p
set(23,-2800,407000,-90)p



set(65,-1920,-2608,90)
set(65,2880,3216,180)
set(65,-2176,10256,-90)
set(65,3488,30540,0)
set(65,-4128,49444,90)
set(65,2240,67140,180)
set(65,2880,86056,-90)
set(65,-4384,109124,0)
set(65,3936,137188,90)
set(65,-1952,152964,180)
set(65,-1088,167712,-90)
set(65,3776,178844,0)
set(65,-3040,192260,90)
set(65,3200,238456,180)
set(65,3392,255324,-90)
set(65,-3712,265380,0)
set(65,-2176,281732,90)
set(65,3136,297084,180)
set(65,-1696,304936,-90)
set(65,-2816,333116,0)
set(65,3936,355520,90)
set(65,3008,382444,180)
set(65,-2944,397572,-90)
set(65,3744,405048,0)
set(66,-1888,3200,90)
set(66,1664,14288,180)
set(66,-3328,24516,-90)
set(66,-4544,36248,0)
set(66,2848,46436,90)
set(66,3040,59680,180)
set(66,-3648,62912,-90)
set(66,-2496,75084,0)
set(66,3264,85284,90)
set(66,2464,96380,180)
set(66,-3232,103668,-90)
set(66,3872,118612,0)
set(66,-2816,136356,90)
set(66,2720,148260,180)
set(66,4704,161684,0)
set(66,-1952,177076,90)
set(66,2624,186704,180)
set(66,3968,198704,-90)
set(66,-4544,205832,0)
set(66,-3360,220892,90)
set(66,-1568,236684,180)
set(66,-1728,248332,-90)
set(66,2944,263764,0)
set(66,2880,277208,90)
set(66,-2368,291080,180)
set(66,2400,308408,-90)
set(66,2880,321668,0)
set(66,2656,348676,90)
set(66,4480,399716,-90)
set(67,2496,-580,0)
set(67,2656,9756,90)
set(67,4736,25904,180)
set(67,-2240,40028,-90)
set(67,4032,56060,0)
set(67,-1824,72492,90)
set(67,-3552,86680,180)
set(67,-3392,102428,-90)
set(67,4288,115784,0)
set(67,-2912,128312,90)
set(67,-2272,145188,180)
set(67,-672,163916,-90)
set(67,2624,173676,0)
set(67,-1184,189112,90)
set(67,-2208,204184,-90)
set(67,2176,229208,0)
set(67,2368,244712,90)
set(67,-2304,275968,180)
set(67,2592,289728,-90)
set(67,-2240,311048,0)
set(67,-2016,323720,90)
set(67,-2336,345252,180)
set(67,4000,366428,-90)
set(67,-2144,393788,0)
set(67,3712,397240,90)
set(70,2464,564,180)
set(70,-1984,15800,-90)
set(70,-2272,23380,0)
set(70,2688,38584,90)
set(70,4832,51860,180)
set(70,-2560,61048,-90)
set(70,-3456,77260,0)
set(70,3808,81844,90)
set(70,3328,94344,180)
set(70,-3072,99624,-90)
set(70,4064,108956,90)
set(70,4512,126860,180)
set(70,-2560,142328,-90)
set(70,-4544,161884,0)
set(70,-2176,178960,90)
set(70,3616,196544,180)
set(70,-3488,203864,-90)
set(70,3968,213792,0)
set(70,-3424,230036,90)
set(70,-2976,244504,180)
set(70,3104,261200,-90)
set(70,1632,271548,0)
set(70,-3136,289708,90)
set(70,-2272,300636,180)
set(70,128,305644,-90)
set(70,-3584,329508,0)
set(70,-2304,343716,90)
set(70,3328,372148,180)
set(70,-2336,385328,-90)
set(70,-3360,403788,0)
set(71,-2720,4444,90)
set(71,2720,-5156,180)
set(71,3520,12940,-90)
set(71,1600,26532,0)
set(71,-3328,40480,90)
set(71,-3264,52524,180)
set(71,-2848,69664,-90)
set(71,3232,80556,0)
set(71,-2592,95992,90)
set(71,-2880,118160,180)
set(71,-4000,131348,-90)
set(71,2816,146056,0)
set(71,3392,154804,90)
set(71,384,164732,180)
set(71,2016,181688,-90)
set(71,-3200,201496,0)
set(71,-3744,217184,180)
set(71,-1696,236604,-90)
set(71,2112,243980,0)
set(71,-2688,255664,180)
set(71,-2080,274820,-90)
set(71,2112,285556,0)
set(71,-4256,296060,90)
set(71,3680,314204,180)
set(71,-2336,321264,-90)
set(71,3968,330840,0)
set(71,-4416,341288,90)
set(71,-4544,356788,180)
set(71,-2528,365840,-90)
set(71,-2368,378192,0)
set(71,-4448,395076,90)
set(71,1920,400528,180)
set(72,2656,8644,-90)
set(72,3328,20900,0)
set(72,-4192,33016,90)
set(72,3264,48748,180)
set(72,-3680,66984,-90)
set(72,3584,77112,0)
set(72,-2784,85488,90)
set(72,4320,101764,180)
set(72,-2528,124760,-90)
set(72,-3424,151292,0)
set(72,-1728,173732,90)
set(72,-3296,189724,180)
set(72,3936,206532,-90)
set(72,3552,233828,0)
