
name(Contrary To Popular Believe)

snap(20,-7,-30)
sky(191,217,255)
fog(195,198,227)
clouds(161,192,240,5,-1500)
ground(200,200,210)
texture(46,117,196,32)
fadefrom(5000)
density(6)
mountains(99359)

nlaps(4)

set(47,0,0,0)p
set(10,0,5600,0)
chk(40,0,8400,0)
set(20,0,11200,180)p
set(15,0,16800,0)
set(34,0,16800,0)pr
set(15,0,22400,0)p
set(15,0,28000,0)p
set(15,0,33600,0)p
set(17,0,38150,0)pt
set(15,4550,38150,90)p
set(15,10150,38150,90)p
set(33,8000,38150,90)
set(15,15750,38150,90)p
set(33,14000,38150,90)
set(15,21350,38150,90)p
set(17,25900,38150,180)pt
chk(42,25900,39900,0)
set(17,25900,41650,-90)
set(15,21350,41650,90)p
set(15,15750,41650,-90)p
set(15,10150,41650,90)p
set(15,4550,41650,-90)
set(34,4550,41650,90)pr
set(15,-1050,41650,-90)p
fix(41,750,41650,-2000,90)
set(20,-6650,41650,90)p
set(14,-11100,41650,0)pt
set(10,-11100,37100,0)
chk(40,-11100,37100,0)
set(10,-11100,31500,180)p
set(28,-11100,26536,180)pr
set(10,-11100,21572,180)p
set(10,-11100,15972,0)p
set(10,-11100,10372,0)p
set(32,-11450,10372,180)
set(23,-11100,7572,0)p
set(23,-12140,2860,180)p
set(13,-10620,30,30)p
chk(40,-9100,-2800,0)
set(14,-9100,-4550,90)
set(10,-4550,-4550,90)p
set(14,0,-4550,180)p


set(24,-5550,1000,180)
set(15,-5550,3800,180)
set(16,-5550,9400,180)
set(15,-5550,15000,0)
set(16,-5550,20600,0)
set(15,-5550,26200,0)
set(16,-5550,31800,180)
set(24,-5550,34600,0)

set(14,8000,0,90)
set(10,8000,4550,0)
set(10,8000,10150,0)
set(10,8000,15750,0)
set(10,8000,21350,0)
set(10,8000,26950,0)
set(14,8000,31500,0)
set(10,12550,31500,90)
set(14,17100,31500,-90)
set(10,17100,26950,180)
set(10,17100,21350,180)
set(10,17100,15750,0)
set(26,17100,15750,0)
set(10,17100,10150,0)
set(10,17100,4550,0)
set(14,17100,0,180)
set(10,12550,0,-90)


set(73,-2000,5025,90)
set(73,-1700,6750,180)
set(74,1975,9125,-90)
set(74,2250,13500,0)
set(74,-3150,15625,90)
set(74,-2425,28225,180)
set(75,2275,26000,90)
set(73,-2575,25650,-90)
set(74,-3025,525,90)
set(74,-4450,-2425,180)
set(74,-7825,1600,-90)
set(75,-8425,1725,90)
set(68,-3132,13401,0)
set(68,8595,34730,90)
set(73,1765,36094,180)
set(73,5737,30193,-90)
set(73,3724,29093,0)
set(73,13715,33430,90)
set(74,11645,35350,180)
set(74,22910,35285,-90)
set(74,3200,-925,0)
set(74,1475,2975,90)
set(74,4850,6050,180)
set(75,5945,9900,-90)
set(75,4960,16900,0)
set(75,10520,22090,90)
set(75,13425,21425,180)
set(75,14020,17995,-90)
set(75,11325,19255,0)
set(73,10905,19815,90)
set(73,11185,17015,180)
set(73,13075,12640,-90)
set(73,11640,11275,0)
set(73,14895,9560,90)
set(73,11150,8895,180)
set(73,13040,5295,-90)
set(73,10940,6590,0)
set(74,14930,6975,90)
set(74,10240,10545,180)
set(74,10555,2580,-90)
set(74,14965,2685,0)
set(74,21450,29495,90)
set(74,23515,27150,180)
set(74,20295,25645,-90)
set(74,22010,19105,0)
set(74,19910,22465,90)
set(75,25020,23585,180)
set(75,21240,25230,-90)
set(75,21030,16445,0)
set(75,23025,11865,90)
set(75,21275,39800,180)
set(74,19850,39975,0)
set(74,11410,43580,90)
set(74,21630,43685,180)
set(73,17850,43545,90)
set(73,-4815,43755,180)
set(73,-2505,38680,-90)
set(73,-3065,36965,0)
set(73,-7685,38155,90)
set(74,-8105,35390,180)
set(74,-2750,33395,-90)
set(74,-7195,32270,0)
set(74,-9295,31395,90)
set(75,-13075,32305,180)
set(75,-12795,28420,-90)
set(75,-8700,26530,0)
set(75,-9715,24395,90)
set(75,-13125,33585,180)
set(75,-13230,30225,-90)
set(75,-8505,32780,0)
set(75,-13405,14350,90)
set(75,-13720,10010,180)
set(75,-8575,11200,-90)
set(75,-13090,-545,0)
set(75,-11410,-4150,90)
set(75,-3065,-6445,180)
set(75,2010,-5010,-90)
set(73,-13575,38685,0)
set(73,13865,39630,90)
set(73,4400,40015,180)
set(73,2475,43375,-90)
set(69,-8245,7115,0)
set(69,6875,-745,90)
set(69,14085,15335,180)
pile(7693,3,4,-3358,2566)
pile(8570,3,4,-3306,3242)
pile(1705,2,5,-3358,12423)
pile(5058,2,3,-2773,11812)
pile(1519,2,3,-3618,14804)
pile(5988,5,4,-2890,24320)
pile(7798,4,6,-3095,35040)
pile(1459,3,4,-3970,35775)
pile(1104,5,3,-5685,38505)
pile(42,5,3,11205,29055)
pile(8039,5,3,4695,25715)
pile(5878,2,6,3225,24805)
pile(9074,2,6,4695,24175)
pile(911,2,6,5675,27115)
pile(1375,2,6,3260,27185)
pile(331,2,6,16650,40005)
pile(7002,2,6,8880,39900)
pile(3375,2,6,20150,35315)
pile(233,5,2,18785,34720)
pile(1457,5,2,21445,33915)
pile(1981,5,2,19685,27265)
pile(6561,5,2,20105,18590)
pile(3960,5,2,12265,25800)
pile(8559,4,4,19860,16245)
pile(23,4,4,13420,21460)
pile(8412,4,4,20210,7255)
pile(5079,4,4,19440,3405)
pile(4690,4,4,20175,4840)
pile(4740,2,5,20385,2530)
pile(763,2,5,12885,8725)
pile(7201,2,5,11555,12540)
pile(7897,2,5,14110,14430)
pile(811,2,5,10925,16520)
pile(6036,2,5,22635,43525)
pile(6563,3,2,4940,43630)
pile(9984,3,2,-2795,43700)
pile(1319,3,2,-12885,38205)
pile(8690,3,2,-8300,35510)
pile(1443,2,4,-13165,31365)
pile(327,2,4,-14005,34445)
pile(6553,2,4,-13235,34550)
pile(8645,2,4,-14285,33045)
pile(7024,2,4,-5675,9230)
pile(604,2,4,-8265,17945)
pile(7747,2,4,-8475,24130)
pile(4772,6,2,-8020,22170)
pile(5819,4,4,-7705,24865)
pile(718,4,4,-8930,23150)
pile(4935,4,4,-8090,2985)
pile(6133,4,4,-13550,6450)
pile(5359,4,4,-5290,-6305)
pile(2725,4,4,2165,-3155)
pile(2644,4,4,2295,-355)
pile(8005,2,6,3940,-1895)
pile(711,2,6,3310,-1545)
