
name(Ghosts and Magic)

snap(-30,-45,10)
sky(222,241,255)
fog(215,209,230)
clouds(234,255,229,0,-1500)
ground(199,192,209)
texture(0,0,0,51)
fadefrom(7000)
density(4)
mountains(83232)

lightson()

nlaps(3)

set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,0)
set(34,0,11200,180)pr
set(15,0,16800,0)p
set(21,0,22400,0)p
set(18,0,28000,0)p
set(22,0,31360,0)p
set(10,0,34720,180)p
set(31,0,40829,0)pr
set(23,0,42509,180)p
set(23,0,47600,0)p
set(10,0,50400,180)p
set(10,0,56000,180)p
set(10,0,61600,180)p
set(10,0,67200,180)p
chk(40,0,69200,0)
set(14,0,71750,0)pt
set(10,4550,71750,90)p
set(13,10180,73270,-60)p
set(22,13570,74790,90)p
set(18,16930,74790,90)
set(36,15200,76100,0)ph
set(36,17160,76100,0)
set(18,22530,74790,-90)p
set(22,25890,74790,-90)
set(13,29280,76310,-60)p
set(10,34910,77830,90)
chk(40,34910,77830,90)
set(14,39460,77830,-90)pt
set(10,39460,73280,0)p

set(10,39460,68680,0)p

set(10,39460,64080,0)p 
set(31,39460,57971,180)pr
set(23,39460,56291,0)


set(24,39460,52740,0)p
set(16,39460,49940,180)p
set(15,39460,44340,0)p
set(15,39460,38740,0)p
set(33,39460,45340,0)
set(33,39460,42340,0)

set(15,39460,33140,0)p
set(15,39460,27540,0)p
set(15,39460,21940,0)
set(34,39460,21940,0)pr
set(15,39460,16340,0)p
fix(41,39460,16340,-2000,0)
set(15,39460,10740,0)p

set(15,39460,5140,180)p
set(16,39460,-460,0)p
set(15,39460,-6060,0)
chk(42,39460,-6060,0)
set(17,39460,-10610,180)pt
set(20,34910,-10610,90)p
set(12,29280,-9090,60)p
set(22,25890,-7570,-90)p
set(18,22530,-7570,90)
set(36,24000,-5960,0)ph
set(18,16930,-7570,90)p
set(22,13570,-7570,90)p
set(12,10180,-6070,60)p
set(20,4550,-4550,-90)
chk(40,7350,-4550,90)
set(17,0,-4550,90)pt



set(23,4200,69000,-90)  // maybe some of these up?
set(10,7000,69000,90)
set(13,12630,70520,-60)
set(10,18260,72040,90)
set(10,23860,72040,-90)
set(27,23860,72040,90)
//set(37,20000,72040,90)
set(13,29490,73560,-60)
set(23,32320,75080,90)

set(23,3940,-2200,-90)
set(10,6740,-2200,-90)
set(12,12370,-3720,60)
set(10,18000,-5240,90)
fix(41,19000,-5240,-1100,90)
set(26,18000,-5240,-90)
set(23,20800,-5240,90)po


set(65,-5625,4205,0)
set(65,4620,17100,90)
set(65,3510,31825,180)
set(65,-2060,56770,-90)
set(65,6030,66820,0)
set(65,23460,78770,180)
set(65,44745,66520,-90)
set(65,33175,51425,0)
set(65,36280,34575,180)
set(65,35380,14980,-90)
set(65,43615,-11775,0)
set(65,31085,-1905,180)
set(65,12020,-12390,-90)
set(66,3085,1205,0)
set(66,-4884,13876,90)
set(66,-3668,28956,180)
set(66,2700,38888,-90)
set(66,1860,51008,0)
set(66,-2172,66084,90)
set(66,8236,75868,180)
set(66,34208,70976,-90)
set(66,22404,78108,0)
set(66,43044,60844,180)
set(66,42812,45768,-90)
set(66,45152,36188,0)
set(66,35496,28440,90)
set(66,44856,23204,180)
set(66,41583,7401,-90)
set(66,33761,-6247,0)
set(67,2782,4769,90)
set(67,-3290,10063,180)
set(67,-4082,22769,-90)
set(67,-3196,37691,0)
set(67,-2041,46116,90)
set(67,4361,65333,180)
set(67,1226,75257,-90)
set(67,16716,67800,0)
set(67,40407,78990,90)
set(67,36013,68180,180)
set(67,35718,59312,-90)
set(67,36096,45873,0)
set(67,43579,28873,90)
set(67,45706,13053,180)
set(67,32608,102,-90)
set(67,15952,-11668,0)
set(68,-4116,1666,90)
set(68,4653,25104,180)
set(68,-3970,43011,-90)
set(68,-5158,60912,0)
set(68,9635,65076,90)
set(68,8824,78003,180)
set(68,34995,71444,-90)
set(68,37038,65114,0)
set(68,42621,40663,180)
set(68,32965,22556,-90)
set(68,45012,12891,0)
set(68,23052,-12552,90)
set(69,-2284,-6995,180)
set(69,-3388,23593,-90)
set(69,3497,46230,0)
set(69,-5224,53296,90)
set(69,2108,76228,-90)
set(69,44184,72853,0)
set(69,36597,55327,90)
set(69,33448,5339,180)
set(69,12918,1089,-90)
set(70,3445,3340,0)
set(70,-2810,18955,90)
set(70,-6245,34415,180)
set(70,5320,55605,-90)
set(70,-3705,71930,0)
set(70,16100,65725,90)
set(70,34472,80876,180)
set(70,33424,60192,-90)
set(70,44396,50184,0)
set(70,33036,41560,90)
set(70,44622,26604,180)
set(70,35792,18202,-90)
set(70,44300,-100,0)
set(70,29716,-3844,90)
set(70,16850,-1350,180)
set(70,11650,-11050,-90)
set(71,-3367,-2181,0)
set(71,3918,9551,90)
set(71,-5196,8116,180)
set(71,4631,29042,-90)
set(71,-4212,49549,0)
set(71,3667,62326,90)
set(71,-3448,74903,180)
set(71,21098,68768,0)
set(71,27486,79311,180)
set(71,42443,75072,-90)
set(71,44034,59559,0)
set(71,34710,46552,90)
set(71,44996,35593,180)
set(71,34266,31369,-90)
set(71,45662,18310,0)
set(71,42073,7721,90)
set(71,35894,-1781,180)
set(71,35672,-12612,-90)
set(71,4042,-7776,0)
set(71,-6902,-5387,90)
set(72,6293,20720,-90)
set(72,-5940,27579,0)
set(72,5330,50070,90)
set(72,-2884,63178,180)
set(72,27957,69133,0)
set(72,14816,80385,90)
set(72,30932,63378,-90)
set(72,45883,44005,0)
set(72,32933,38328,90)
set(72,33322,8962,180)
set(72,28437,-13253,-90)
set(72,23849,-599,0)
set(72,18042,-9977,90)
set(72,-1760,-11956,180)
set(72,8050,70500,-90)
pile(103,3,6,-3275,3700)
pile(8,4,2,3330,11985)
pile(486,4,2,-5450,16425)
pile(3968,4,2,4735,21990)
pile(3744,4,2,-4440,31325)
pile(2973,5,3,3190,34230)
pile(2887,5,3,-5770,40050)
pile(4341,5,3,3960,43045)
pile(3063,5,3,-3275,53265)
pile(7801,5,3,-3100,60510)
pile(8478,2,5,-4465,58445)
pile(4815,6,3,3550,59320)
pile(4907,6,3,-4185,68860)
pile(8746,6,6,5410,74995)
pile(8095,6,6,13765,66005)
pile(4917,5,3,12925,63940)
pile(950,6,3,15620,63660)
pile(9471,6,3,20035,80100)
pile(1727,3,4,19020,80555)
pile(3412,4,6,21085,79645)
pile(5164,5,6,31860,67900)
pile(3402,2,3,30460,67795)
pile(9253,5,3,30705,69055)
pile(8863,5,3,36795,72765)
pile(5028,5,3,43340,66865)
pile(1877,4,3,33750,64240)
pile(1295,4,3,36550,60320)
pile(4341,4,3,43130,53300)
pile(9308,4,3,43515,52390)
pile(3050,6,3,42290,52145)
pile(9648,6,3,37345,49555)
pile(6183,3,5,35490,49695)
pile(3966,5,3,35800,50760)
pile(4643,5,3,35240,43025)
pile(9514,5,3,34330,44215)
pile(5529,4,3,44060,43690)
pile(9284,4,3,44585,42150)
pile(6818,5,2,35275,35885)
pile(7750,5,2,43185,36305)
pile(3190,3,5,34400,38020)
pile(7763,3,5,42965,31070)
pile(4286,5,3,44260,30300)
pile(5922,6,4,35545,23930)
pile(6568,6,4,33005,28990)
pile(9916,6,4,42840,18790)
pile(857,2,3,46305,20085)
pile(3452,2,3,44205,19350)
pile(6305,5,5,33545,12320)
pile(4247,4,2,34595,13405)
pile(6525,4,2,44850,9940)
pile(6098,6,5,45510,8160)
pile(5910,6,5,35205,6720)
pile(6967,2,6,33495,6630)
pile(4911,2,6,35025,8115)
pile(2932,5,6,43980,2670)
pile(444,5,6,34260,-1515)
pile(5285,5,6,44020,-7780)
pile(6988,5,6,44605,-6205)
set(70,10881,54523,90)
set(70,17322,45257,-90)
set(70,24328,23674,90)
set(70,18452,28646,180)
set(71,26701,22110,-90)
set(71,20373,43015,180)
set(71,10655,45065,0)
set(71,24215,63371,90)
set(71,27605,39754,-90)
set(71,12802,31957,90)
set(71,24523,4502,0)
set(72,18873,19983,180)
set(72,11189,28797,-90)
set(72,25314,34108,0)
set(72,13628,37548,180)
set(72,20888,51456,-90)
set(72,20360,55200,0)
set(72,15176,56976,90)
set(72,25344,58236,0)
set(72,24672,47876,90)
set(72,18472,11520,-90)
set(72,14160,24456,90)
set(72,17744,23056,180)
set(72,10688,17736,-90)
set(72,12648,4912,90)
set(72,20544,5376,180)
set(72,26648,11872,-90)
set(72,25977,16830,0)
set(72,28844,50930,90)
set(72,9535,59978,180)
set(65,9520,50240,0)
set(65,21220,59300,90)
set(65,25300,52940,180)
set(65,28300,43820,-90)
set(65,12040,39920,0)
set(65,25120,29840,90)
set(65,5680,38120,180)
set(65,19391,36586,0)
set(66,14515,51797,90)
set(66,29627,57058,180)
set(66,29725,32125,-90)
set(66,27812,25290,0)
set(66,15474,14934,90)
set(66,18326,32230,180)
set(67,19865,39775,-90)
set(67,21295,58880,0)
set(67,14926,26797,180)
set(67,15328,20502,-90)
set(67,23235,12477,0)
set(68,18950,32102,90)
set(68,24611,40823,180)
set(68,24260,25712,-90)
set(68,11472,11268,0)
set(69,26928,13108,180)
set(69,15980,37580,-90)
set(69,21040,24148,0)
set(69,27480,33624,90)
set(69,22780,17878,180)
pile(174,6,4,17530,25870)
pile(2034,6,4,19375,14350)
pile(8667,3,2,11545,21145)
pile(2279,6,5,24865,29470)
pile(6272,6,5,12740,42790)
pile(4497,6,5,10085,34960)
pile(6372,6,5,15260,35005)
pile(2000,6,5,17175,48400)
pile(7254,6,5,25500,43720)
pile(9340,6,5,21630,36160)
pile(1709,6,5,9510,24655)
pile(7973,6,5,16985,6840)
pile(8728,6,5,29900,18630)
pile(6634,3,4,14160,31064)
pile(5464,3,4,22854,33640)
pile(6436,3,4,14620,20530)
pile(3702,3,4,22210,21036)
pile(3829,4,2,25246,38148)
pile(3123,4,2,17008,41788)
pile(3945,4,2,7532,39442)
pile(7317,4,2,9556,48136)
pile(2212,4,2,22206,48274)
pile(8591,4,2,14108,52742)
pile(8565,4,2,17098,60102)
pile(6822,4,2,25056,55870)
pile(7900,4,2,28134,46454)
pile(3734,4,2,28870,55102)
pile(2404,4,2,20620,39818)
pile(1797,4,2,14098,16516)
pile(2058,5,4,10648,14492)
pile(8578,5,4,15984,10076)
pile(3090,5,4,26098,7002)
pile(4189,5,4,23752,14546)
pile(8927,5,4,30376,14592)
pile(7080,4,2,17496,16892)
pile(2333,4,2,9716,6910)
pile(2484,6,3,24814,51580)
pile(8617,6,3,28496,61158)
pile(1461,5,6,36300,-5825)
set(72,6675,11350,180)


maxl(20,-8900,-11500)
maxt(12,82100,-6500)
maxr(20,48700,-11500)
maxb(12,-13900,-6500)























