
snap(10,30,-38)
sky(192,189,255)
fog(175,178,211)
clouds(255,255,255,2,-1500)
ground(176,176,176)
texture(0,0,0,60)
fadefrom(5000)
density(3)
mountains(73155)

name(Rolling with the Big Boys)
nlaps(3)


set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,180)
set(26,0,10000,0)pr
set(26,0,11200,180)
set(10,0,16800,0)p
set(10,0,22400,180)p
set(10,0,28000,0)
chk(40,0,28000,0)
set(14,0,32550,-90)pt
set(10,-4550,32550,90)p
set(10,-10150,32550,90)p
set(10,-15750,32550,-90)p

// split roads
set(10,-21350,32550,-90)p
set(10,-26950,32550,90)p
set(28,-31914,32550,90)pr
set(10,-36878,32550,90)p 
fix(41,-35000,32550,-900,90)
set(10,-42478,32550,90)
set(13,-48108,31030,-60)

//
set(13,-21380,31030,-60)p 
set(10,-27010,29510,90)p
set(10,-31338,29510,-90)
set(31,-30700,29510,90)pr
set(10,-36938,29510,-90)p
set(10,-42538,29510,-90)p
set(10,-48138,29510,90)p 

//merged:


set(10,-53738,29510,-90)p
set(10,-59338,29510,90)
chk(40,-61338,29510,90)
set(14,-63888,29510,0)pt
set(10,-63888,24960,0)p
set(10,-63888,19360,180)p
set(32,-63538,19360,180)
set(10,-63888,13760,0)
set(32,-64238,13760,180)pr
set(10,-63888,8160,0)p
set(10,-63888,2560,0)p 
set(10,-63888,-3040,180)
chk(40,-63888,-3040,0) 
set(10,-63888,-8640,180)p
set(12,-65408,-14270,-30)p
set(22,-66928,-17660,0)
set(19,-66928,-19970,180)
set(18,-71478,-19970,90)
set(36,-67600,-20700,180)ph

set(23,-68200,-22000,90)p
set(10,-71000,-22000,90)p
set(23,-73800,-22000,-90)

set(19,-76028,-19970,90)pt
set(22,-76028,-17660,0)
chk(40,-76028,-16000,0)
set(10,-76028,-14300,180)p
set(14,-76028,-9750,0)pt
set(10,-71478,-9750,90)p
set(22,-68118,-9750,90)pr

set(23,-66700,-9750,90)
set(29,-67200,-9750,90)

set(23,-61076,-9750,-90)
set(22,-60516,-9750,90)p
set(22,-59396,-9750,-90)
set(23,-58836,-9750,90)p

set(23,-53104,-9750,-90)p
set(22,-52600,-9750,90)
set(22,-51480,-9750,90)
set(22,-50360,-9750,-90)p
set(10,-47000,-9750,90)p
set(13,-41370,-8230,-60)p
set(22,-37980,-6710,90)
set(19,-35670,-6710,180)pt
set(18,-35670,-2160,0)
set(36,-34940,-6038,-90)ph

set(23,-33640,162,180)p
set(10,-33640,-2638,0)
set(23,-33640,-5438,0)

set(19,-35670,2390,-90)pt
set(18,-40220,2390,-90)
chk(40,-40220,2390,90)
set(18,-45820,2390,90)p
set(18,-51420,2390,90)p
set(19,-55970,2390,0)pt
set(18,-55970,-2160,0)p
set(18,-55970,-7760,0)
set(22,-55970,-11120,180)
set(22,-55970,-12240,0)
set(18,-55970,-15600,180)p
set(18,-55970,-21200,0)p
set(18,-55970,-26800,0)
chk(40,-55970,-29600,0)
set(19,-55970,-31350,90)pt
set(18,-51420,-31350,90)p
set(18,-45820,-31350,-90)p
set(18,-40220,-31350,-90)p
set(36,-40220,-29600,0)
set(18,-34620,-31350,90)
set(36,-38260,-29600,0)ph
fix(41,-35700,-30100,-700,90)
 
set(18,-29020,-31350,90)p
set(22,-25660,-31350,-90)p
set(10,-22300,-31350,90)p
set(10,-16700,-31350,90)p
set(10,-10150,-31350,90)p
set(30,-10591,-31350,-90)
set(10,-4550,-31350,90)p
set(14,0,-31350,180)pt
set(10,0,-26800,0)p
set(10,0,-22400,0)p
chk(40,0,-19600,0)
set(10,0,-16800,180)p
set(10,0,-11200,180)
set(26,0,-11200,0)pr
set(26,0,-10000,180)
set(10,0,-5600,0)p


set(65,-5865,-25840,-90)
set(65,1890,-5360,0)
set(65,-3180,29740,90)
set(65,-26715,26490,-90)
set(65,-64568,32140,0)
set(65,-60934,16246,90)
set(65,-61270,1126,180)
set(65,-70272,-14710,0)
set(65,-61450,-20396,90)
set(65,-53428,-25442,180)
set(65,-49774,-12870,-90)
set(65,-46900,-1870,0)
set(65,-26686,2100,90)
set(65,-30674,-35100,180)
set(66,2582,-15052,-90)
set(66,-2358,-2862,0)
set(66,-3324,6672,90)
set(66,3134,25756,180)
set(66,-14788,29966,-90)
set(66,-38278,30986,0)
set(66,-48900,32974,90)
set(66,-66710,22106,180)
set(66,-66500,8828,-90)
set(66,-60216,-7076,0)
set(66,-74276,-7230,90)
set(66,-49174,-7084,180)
set(66,-41486,-3550,-90)
set(66,-40632,8104,0)
set(66,-29586,8062,90)
set(66,-34044,-14368,180)
set(66,-59648,6188,-90)
set(66,-49416,-34340,0)
set(66,-44586,-25856,90)
set(66,-22500,-28528,180)
set(66,-5836,-33736,-90)
set(66,2184,-28192,0)
set(67,2298,-15621,90)
set(67,-2805,-6542,180)
set(67,-2058,3723,-90)
set(67,1701,14487,0)
set(67,-5166,25450,180)
set(67,-10214,30118,0)
set(67,-23858,31277,90)
set(67,-56148,31517,180)
set(67,-61564,21496,-90)
set(67,-66596,14650,0)
set(67,-66911,2806,90)
set(67,-66533,-6572,180)
set(67,-72575,-18412,-90)
set(67,-59689,-12109,0)
set(67,-42904,-7258,90)
set(67,-42877,-63,180)
set(67,-43962,6083,-90)
set(66,-44445,6125,0)
set(66,-54715,9028,90)
set(67,-61099,-23185,180)
set(67,-60154,-33184,0)
set(67,-47378,-27968,90)
set(67,-30820,-28677,180)
set(67,-9126,-26262,-90)
set(68,-2259,-19093,0)
set(68,1794,9113,90)
set(68,-6639,30357,180)
set(68,-22546,26072,-90)
set(68,-53467,32101,0)
set(68,-69112,24835,90)
set(68,-57884,22454,180)
set(68,-59616,10439,-90)
set(68,-65706,-5306,0)
set(68,-72325,-17100,90)
set(68,-59075,-16325,180)
set(68,-33575,5300,-90)
set(68,-50325,-2650,90)
set(68,-50606,-28664,-90)
set(68,-39514,-33714,0)
set(68,-11879,-24627,180)
set(69,-3190,-9340,-90)
set(69,-2480,19220,0)
set(69,-30854,31036,90)
set(69,-41440,27330,180)
set(69,-58400,26610,-90)
set(69,-66620,15510,0)
set(69,-72516,-2992,90)
set(69,-52836,-7300,180)
set(69,-40300,-1300,-90)
set(69,-50825,6750,90)
set(69,-37000,-12175,180)
set(69,-37450,-18550,-90)
set(69,-14750,-29125,0)
set(69,2625,1775,0)
set(68,-10750,-34000,90)
set(67,-29950,-34825,180)
set(65,-19200,-34375,0)
set(65,-73450,-25100,90)
