
snap(5,-25,35)
sky(370,260,200)
fog(227,235,255)
clouds(255,255,255,10,-843)
ground(202,209,196)
texture(0,0,0,60)
fadefrom(5000)
density(4)
mountains(95630)

name(Suddenly the King becomes Santa's Little Helper)

nlaps(4)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,180)p
set(31,0,17309,0)p
set(10,0,21789,180)p
set(10,0,27389,180)p
set(10,0,32989,0)p

set(37,100,25000,0)
set(37,-100,26000,0)
set(37,100,27000,0)
set(37,-100,28000,0)
set(10,0,38589,0)
chk(40,0,38589,0)
set(10,0,44189,0)p
set(14,0,48739,-90)pt
set(20,-4550,48739,-90)p
set(15,-10150,48739,-90)p
set(15,-15750,48739,90)p
set(15,-21350,48739,-90)p
set(15,-26950,48739,90)p
set(15,-32550,48739,-90)p
set(33,-10150,48739,-90)
set(33,-15750,48739,90)
set(33,-21350,48739,-90)
set(33,-26950,48739,90)
set(33,-32550,48739,-90)p
set(15,-38150,48739,90)
chk(42,-38000,48739,90)
set(33,-40000,48739,-90)
set(20,-43750,48739,90)p
set(14,-48300,48739,0)pt
set(10,-48300,44189,0)p
set(10,-48300,38589,0)p
set(31,-48300,32480,180)p
set(10,-48300,28000,180)p
set(10,-48300,22400,0)p
fix(41,-48300,23000,-5500,0)
set(10,-48300,16800,0)p
set(10,-48300,11200,180)p
set(10,-48300,5600,180)
chk(40,-48300,5600,0)
set(10,-48300,0,0)p
set(14,-48300,-4550,90)pt
set(14,-44800,-4550,180)pt
set(10,-44800,0,0)p
set(10,-44800,5600,0)p
set(10,-44800,11200,0)
set(27,-44800,11200,0)pr
set(10,-44800,16800,0)p
set(10,-44800,22400,0)p
set(22,-44800,25760,180)
set(18,-44800,29120,180)p
set(18,-44800,34720,180)
chk(40,-44800,34720,0)
set(18,-44800,40320,0)p
set(19,-44800,44870,0)pt
set(21,-40250,44870,90)p
set(15,-34650,44870,90)
set(34,-34650,44870,90)pr
set(15,-29050,44870,90)p
set(15,-23450,44870,-90)p
set(33,-27300,44870,90)
set(33,-21700,44870,-90)
set(16,-17850,44870,-90)p
set(21,-12250,44870,-90)p
set(18,-8050,44870,-90)
set(19,-3500,44870,-90)p 
set(18,-3500,40320,0)
chk(40,-3500,39000,0)
set(18,-3500,34720,180)p
set(22,-3500,31360,180)
set(10,-3500,28000,180)p
set(10,-3500,22400,0)p
set(10,-3500,16800,180)
set(26,-3500,16800,180)pr
set(10,-3500,11200,0)p
set(10,-3500,5600,0)p
set(10,-3500,0,0)p
chk(40,-3500,-2800,0)
set(14,-3500,-4550,90)
set(14,0,-4550,180)p


set(38,-44800,14000,0)
set(38,-44800,16000,0)
set(38,-44800,18000,0)
set(38,-44800,20000,0)

set(38,-3500,36000,0)
set(38,-3500,33000,0)
set(38,-3500,30000,0)
set(38,-3500,27000,0)
set(38,-3500,24000,0)
set(38,-3500,21000,0)


set(23,-46550,1000,0)
set(23,-46550,1000,180)
set(37,-46550,1600,90)
set(37,-46550,400,90)

set(17,-22400,40000,-90)po
set(44,-22400,35450,0)p
set(43,-22400,29850,180)p
set(43,-22400,24250,0)p
set(44,-22400,18650,180)
set(35,-22400,18650,0)p
set(21,-22400,13050,180)p
set(18,-22400,7450,180)
fix(41,-22400,16700,-1000,0)s
set(18,-22400,1850,180)p
set(19,-22400,-2700,180)p
set(19,-25900,-2700,90)
set(18,-25900,1850,180)
set(18,-25900,7450,0)
set(18,-25900,13050,0)
set(21,-25900,18650,180)
set(15,-25900,24250,180)
set(16,-25900,29850,180)
set(15,-25900,35450,180)
set(17,-25900,40000,0)po



set(73,4350,-2800,0)
set(73,-1625,2775,90)
set(73,-2400,6175,180)
set(73,2850,3450,-90)
set(73,-6025,-2425,0)
set(73,-6150,9100,90)
set(73,4050,7125,180)
set(73,-1975,11975,-90)
set(73,2300,14500,0)
set(73,-5650,18375,90)
set(73,3525,20525,180)
set(73,-1950,23600,-90)
set(73,-1450,28425,0)
set(73,2225,29150,90)
set(73,-1950,33975,180)
set(73,2525,38850,-90)
set(73,-3200,47250,0)
set(73,-5475,51725,90)
set(73,-8975,46375,180)
set(73,-9325,42350,-90)
set(73,-7100,37725,0)
set(73,-12700,51050,90)
set(73,-13850,47100,180)
set(73,-15550,41425,-90)
set(73,-7550,31975,0)
set(73,-6640,24004,90)
set(73,-20125,46250,180)
set(73,-22250,41975,-90)
set(73,-23475,50650,0)
set(73,-26700,47225,90)
set(73,-30875,50575,180)
set(73,-33225,42775,-90)
set(73,-45125,50025,0)
set(73,-40600,46850,90)
set(73,-40300,42500,180)
set(73,-37925,38750,-90)
set(73,-46425,42650,0)
set(73,-50575,42750,90)
set(73,-52625,37450,180)
set(73,-46600,36325,-90)
set(73,-41700,35875,0)
set(73,-46625,29650,90)
set(73,-50850,33050,180)
set(73,-42100,27675,-90)
set(73,-52425,24675,0)
set(73,-49775,25900,90)
set(73,-45950,23000,180)
set(73,-42075,12975,-90)
set(73,-49875,15375,90)
set(73,-46700,16550,180)
set(73,-46125,8200,-90)
set(73,-41550,5550,0)
set(73,-46800,3650,90)
set(73,-50500,1475,180)
set(73,-52575,6750,-90)
set(73,-46850,-6225,0)
set(73,-40725,-875,90)
set(73,-42500,725,180)
set(74,2075,-6150,-90)
set(74,-5900,1200,0)
set(74,-1525,-2050,90)
set(74,3075,375,180)
set(74,2725,9600,-90)
set(74,-1775,9325,0)
set(74,3900,13325,90)
set(74,-1975,13750,180)
set(74,-6475,15400,-90)
set(74,-6650,12225,0)
set(74,-5375,7150,90)
set(74,3575,17275,180)
set(74,-2025,20825,-90)
set(74,-6025,21875,0)
set(74,3450,23100,90)
set(74,1600,21575,180)
set(74,-1900,29300,-90)
set(74,-5875,32125,0)
set(74,2675,35600,90)
set(74,5550,32750,180)
set(74,-2125,40850,-90)
set(74,-1975,47075,0)
set(74,-650,50725,90)
set(74,-8425,51125,180)
set(74,-11150,46400,-90)
set(74,-6075,41950,0)
set(74,-12625,42850,90)
set(74,-17725,47100,180)
set(74,-16025,51850,-90)
set(74,-18400,50725,0)
set(74,-19750,42800,90)
set(74,-26800,42725,180)
set(74,-30875,42075,-90)
set(74,-33475,46550,90)
set(74,-34975,41150,180)
set(74,-34575,50750,-90)
set(74,-43150,47225,0)
set(74,-42600,40650,90)
set(74,-50000,46600,-90)
set(74,-45825,46175,0)
set(74,-46925,39800,90)
set(74,-50175,38500,180)
set(74,-46225,32325,-90)
set(74,-42275,32600,0)
set(74,-50550,28700,90)
