
snap(25,-10,-50)
sky(194,224,255)
fog(217,212,188)
clouds(255,255,255,10,-1281)
ground(188,194,171)
texture(255,0,0,47)
fadefrom(6000)
density(3)
mountains(67627)

name(Digger's Revenge)
nlaps(2)


set(47,0,0,0)p
set(14,0,4550,-90)pt
set(10,-4550,4550,-90)p
set(26,-6700,4550,90)pr
set(10,-10150,4550,90)p
set(26,-7900,4550,-90)
set(10,-15750,4550,-90)p
set(10,-21350,4550,-90)p
set(14,-25900,4550,90)pt
chk(40,-25900,6300,0)
set(14,-25900,8050,0)pt
set(10,-21350,8050,90)
set(30,-20300,8050,-90)pr
set(10,-15750,8050,-90)p
set(10,-10150,8050,90)p
set(10,-4550,8050,-90)p
set(14,0,8050,180)pt
set(10,0,12600,180)
chk(40,0,15400,0)
set(14,0,17150,-90)pt
set(10,-4550,17150,90)p
set(29,-7186,17150,-90)pr
set(10,-10150,17150,90)
set(20,-15750,17150,-90)p
set(15,-21350,17150,90)p
set(17,-25900,17150,90)pt
chk(42,-25900,18900,0)
set(17,-25900,20650,0)pt
set(15,-21350,20650,-90)p
set(33,-21350,20650,-90)
set(15,-15750,20650,90)p
set(16,-10150,20650,-90)p
set(15,-4550,20650,-90)p
set(17,0,20650,180)pt
set(15,0,25200,180)
chk(42,0,22400,0)
set(17,0,29750,-90)pt
set(15,-4550,29750,-90)
set(34,-4550,29750,-90)pr
set(16,-10150,29750,-90)p
set(15,-15750,29750,90)p
set(15,-21350,29750,-90)p
set(17,-25900,29750,90)pt
chk(42,-25900,31500,0)
set(17,-25900,33250,0)pt
set(15,-21350,33250,-90)
set(35,-21350,33250,90)pr
set(15,-15750,33250,-90)p
set(15,-10150,33250,90)p
set(15,-4550,33250,-90)p
set(17,0,33250,180)pt
set(15,0,37800,180)p
set(17,0,42350,0)pt
chk(42,1750,42350,90)
set(17,3500,42350,-90)pt
set(44,3500,37800,0)p
set(43,3500,32200,0)p
set(44,3500,26600,180)
set(34,3500,26600,180)pr
set(24,3500,23800,180)p
fix(41,3500,21760,-2500,0)
set(23,3500,19600,180)p
set(10,3500,16800,180)p
set(10,3500,11200,180)p
set(10,3500,5600,0)p
set(10,3500,0,0)p
set(14,3500,-4550,180)pt
chk(40,1750,-4550,90)
set(14,0,-4550,90)pt


set(73,-3675,-2725,0)
set(73,2075,975,90)
set(73,-12250,6575,180)
set(73,-14200,1450,-90)
set(73,-22400,6600,0)
set(73,-20275,1275,90)
set(73,-17075,14025,-90)
set(73,-10525,12875,0)
set(73,-5275,9800,90)
set(73,-6050,15050,180)
set(73,-28075,20575,-90)
set(73,-27975,9750,90)
set(73,-25550,-100,180)
set(73,-21000,-4425,180)
set(73,-24592,26200,-90)
set(73,-21541,22879,0)
set(73,-12179,23261,180)
set(73,-7107,22625,-90)
set(73,-4110,27134,0)
set(73,-9429,26675,90)
set(73,-2841,24650,180)
set(73,-13798,31461,-90)
set(73,-24866,35379,0)
set(73,-24353,39375,180)
set(73,-3475,39822,90)
set(73,-5743,36933,180)
set(73,6269,38541,-90)
set(73,5540,28678,0)
set(73,5297,17747,90)
set(73,869,18983,180)
set(73,1815,4513,-90)
set(73,5703,7348,0)
set(73,5568,2272,90)
set(73,-3686,-1566,-90)
set(74,-3389,-2133,0)
set(74,-12038,-853,180)
set(74,-8285,-583,-90)
set(74,-19484,-3363,0)
set(74,-15677,-4308,180)
set(74,-26049,1784,0)
set(74,-24348,-2887,90)
set(74,-17490,5834,180)
set(74,-28322,4705,-90)
set(74,-25510,13186,0)
set(74,-17734,10891,90)
set(74,-12622,14820,180)
set(74,-12973,11391,-90)
set(74,-2178,11028,180)
set(74,2106,12918,-90)
set(74,-9432,18580,0)
set(74,-18097,24283,0)
set(74,-14938,24904,-90)
set(74,-6436,25471,0)
set(74,-4816,22636,90)
set(74,-22056,39659,180)
set(74,-23838,36554,-90)
set(74,-18384,39794,0)
set(74,-3680,37095,180)
set(74,-9674,35853,-90)
set(74,-13265,37824,0)
set(74,528,32856,90)
set(74,5550,41199,180)
set(74,5955,30741,-90)
set(74,1673,18016,0)
set(74,-14,6558,90)
set(74,-5954,6639,180)
set(74,5623,-238,-90)
set(74,-5239,-513,0)
set(75,-7075,-3483,90)
set(75,-20120,5975,180)
set(75,-23549,12536,-90)
set(75,-19850,11942,90)
set(75,-10517,19146,180)
set(75,-19635,26501,0)
set(75,-14046,26771,90)
set(75,-601,31596,-90)
set(75,-13539,41012,0)
set(75,-10677,38906,90)
set(75,-16698,38069,180)
set(75,-5925,40445,-90)
set(75,-500,43566,0)
set(75,-5657,42378,90)
