
name(The Gun Run)

snap(-50,-65,0)
sky(206,230,255)
fog(189,207,242)
clouds(210,210,210,1,-1000)
ground(180,191,209)
texture(62,68,104,20)
fadefrom(5000)
density(4)
mountains(29311)
lightson()

nlaps(1)


set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,0)p
set(15,0,16800,0)p
set(33,0,5600,0)
set(33,0,11200,0)
set(15,0,22400,0)
chk(42,0,22400,0)
set(17,0,26950,0)pt
set(15,4550,26950,90)p
set(15,10150,26950,-90)p
set(15,15750,26950,-90)
set(34,15750,26950,-90)pr
set(15,21350,26950,90)p
set(15,26950,26950,90)p
set(16,32550,26950,-90)p
set(15,38150,26950,-90)p
set(15,43750,26950,90)p
set(17,48300,26950,180)pt
set(15,48300,31500,0)
chk(42,48300,30100,0) 
set(17,48300,36050,-90)pt
set(15,43750,36050,90)p
set(15,38150,36050,-90)p
set(15,32550,36050,90)
set(34,32550,36050,90)pr
set(21,26950,36050,90)p
set(18,21350,36050,90)p
set(18,15750,36050,-90)p
set(22,12390,36050,90)
set(10,9030,36050,-90)p
set(31,2921,36050,90)pr
set(23,1241,36050,-90)

set(23,-2004,33250,0)
set(23,-2004,38850,180)
set(10,-2004,36050,0)
set(26,-2004,37000,90)pr
set(26,-2004,35100,90)

set(23,-5250,36050,90)
set(10,-8050,36050,-90)p
set(10,-13650,36050,90)p
set(10,-19250,36050,90)p
set(10,-24850,36050,-90)p
set(10,-30450,36050,-90)
set(32,-29814,35600,90)
set(32,-29814,36050,90)pr
set(32,-29814,36500,90)
set(10,-36050,36050,-90)p
set(10,-41650,36050,-90)p
set(10,-47250,36050,-90)p
set(14,-51800,36050,90)pt
set(10,-51800,40600,0)
chk(40,-51800,39200,0)
set(14,-51800,45150,0)pt
set(10,-47250,45150,90)p
set(10,-41650,45150,-90)p
set(29,-36686,45150,-90)pr
set(10,-31722,45150,-90)p
set(10,-26122,45150,-90)p
set(10,-20522,45150,90)p
set(10,-14922,45150,90)p
set(10,-9322,45150,90)p
set(10,-3722,45150,-90)
chk(40,-3722,45150,90)
set(14,828,45150,180)pt
set(10,828,49700,0)p
set(31,828,55809,0)pr
set(23,828,57489,180)

set(23,-1972,60734,-90)
set(23,3628,60734,90)
set(10,828,60734,90)
set(26,1778,60734,0)pr
set(26,-122,60734,0)

set(23,828,65800,0)
set(10,828,68600,0)p
set(10,828,74200,180)p
set(10,828,79800,180)p
set(30,828,85909,0)pr
set(10,828,90389,180)p
set(10,828,95989,180)p
set(10,828,101589,180)p
set(14,828,106139,-90)pt

set(10,-3722,106139,90)
chk(40,-2322,106139,90)

set(14,-8272,106139,0)pt
set(10,-8272,101589,0)p
set(10,-8272,95989,0)
set(26,-8272,93989,180)pr 
set(10,-8272,90389,0)p 
set(10,-8272,84789,0)p
set(10,-8272,79189,0)p 

set(10,-8272,73589,0)p
set(10,-8272,67989,180)p

set(10,-8272,62389,180)p 
set(31,-8272,58520,180)pr 
set(23,-8272,56840,0)p

set(23,-5472,53595,90)
set(23,-11072,53595,-90)
set(10,-8272,53595,90)
set(26,-9222,53595,180)
set(26,-7322,53595,180)


set(23,-6592,42000,0)
set(23,-6592,42000,180)
set(32,-6592,42000,180)
set(23,-9952,42000,0)
set(23,-9952,42000,180)
set(32,-9952,42000,180)

set(30,-4912,35070,0)
set(30,-6592,35070,0)
set(30,-8272,35070,0)
set(30,-9952,35070,0)
set(30,-11632,35070,0)

set(24,-8272,30800,0)
set(16,-8272,28000,180)
set(15,-8272,22400,180)
set(15,-8272,16800,0)
set(15,-8272,11200,180)
set(15,-8272,5600,0)
chk(42,-8272,5600,0) 
set(33,-8272,22400,180)
set(33,-8272,16800,0)
set(15,-8272,0,0)p
set(24,-8272,-2800,180)
set(24,0,-2800,180)p



set(65,-3395,3760,0)
set(65,4550,21920,90)
set(65,23785,29265,180)
set(65,44775,23950,-90)
set(65,39485,43065,0)
set(65,11665,39530,90)
set(65,320,32060,180)
set(65,-26520,41095,-90)
set(65,-45145,28045,0)
set(66,3675,5975,0)
set(66,-4050,14575,90)
set(66,-4950,27875,180)
set(66,30075,32500,-90)
set(66,12200,12900,0)
set(66,8640,48095,90)
set(66,-32520,30184,180)
set(66,-40720,49972,-90)
set(66,5276,67032,0)
set(65,-3836,95136,180)
set(66,-2108,102400,-90)
set(65,-11952,97680,90)
set(65,-12832,72116,180)
set(65,-33596,54476,-90)
set(65,-33396,20260,0)
set(65,-17352,21708,90)
set(65,-18460,5456,180)
set(75,-16012,-1412,-90)
set(75,-23656,28360,0)
set(75,22756,18152,90)
set(75,33904,13064,180)
set(75,30356,46224,-90)
set(75,12620,65864,0)
set(75,-3548,57480,90)
set(75,-16348,66460,180)
set(75,-5488,101872,-90)
set(75,-8172,48948,0)
set(74,-9996,48092,180)
set(75,-12328,48752,180)
set(74,-12112,49628,-90)
set(74,-15410,50802,0)
set(74,-15472,49035,90)
set(74,-14545,49327,180)
set(74,-3719,50168,-90)
set(75,-5441,50798,0)
set(67,14156,30352,90)
set(67,36164,38044,180)
set(67,-12484,16768,-90)
set(67,-12484,57804,0)
set(67,-5472,75876,90)
set(67,-11903,98429,180)
set(68,-27322,48837,-90)
set(68,15667,38959,0)
set(68,19400,21080,90)
set(68,-26700,16960,180)
set(68,-45500,32640,-90)
set(69,4360,68700,0)
set(69,-12174,83649,90)
set(69,-14453,28921,180)
set(69,-48752,41068,-90)
set(65,-4498,22419,0)
set(66,13462,30189,90)
set(65,11620,23090,180)
set(68,40086,22839,-90)
set(69,30575,21930,0)
set(69,39760,31400,180)
set(66,26370,39150,-90)
set(66,-2420,41790,0)
set(65,-23286,32678,180)
set(65,-40314,39178,-90)
set(66,-52098,48918,0)
set(67,-19844,47454,90)
set(67,3730,56428,180)
set(65,-1454,73438,-90)
set(75,-12098,87934,0)
set(75,-3626,88258,90)
set(75,-12238,76582,180)
set(75,-5304,68576,-90)
set(75,-12688,66756,0)
set(75,-12010,60794,90)
set(74,-12296,61054,180)
set(74,-4810,65326,-90)
set(74,-4748,42114,0)
set(74,-8570,39332,90)
set(74,-12990,42426,180)
set(73,-12158,41360,-90)
set(73,-13900,46924,0)
set(73,-9690,51696,90)
set(73,-6778,50526,180)
set(74,-3710,51722,-90)
set(74,-4204,39016,0)
set(74,-7584,37820,90)
set(74,-11016,38574,180)
set(74,-13382,38372,-90)
set(74,3462,72486,0)
set(74,-1376,87888,90)
set(74,-3068,104258,180)
pile(4471,6,4,-5145,-1290)
pile(6190,6,4,-3390,-480)
pile(1145,5,5,-5370,60)
pile(7085,5,5,-4290,780)
pile(7490,5,5,7770,2670)
pile(8172,5,5,5745,4020)
pile(7329,5,5,6195,2490)
pile(13,5,5,7410,600)
pile(6768,4,5,5925,735)
pile(2678,4,4,4935,1635)
pile(4976,4,4,-4910,4055)
pile(3582,2,4,5035,8915)
