
snap(-20,10,40)
sky(231,231,231)
fog(184,205,232)
clouds(255,255,255,0,-1500)
ground(172,189,230)
texture(0,0,0,42)
fadefrom(7000)
density(6)
mountains(96266)

name(Four Dimensional Vertigo)
nlaps(2)


set(47,0,0,0)p
set(23,0,2800,180)p
set(32,0,2800,0)
set(32,400,3800,0)
set(32,-400,3800,0)

set(23,0,19600,0)p
set(31,0,22909,0)pr 
set(31,0,27491,180)p
set(23,0,30800,180)p

set(23,0,47600,0)p
set(10,0,50400,0)p
chk(40,0,53200,0)
set(14,0,54950,-90)pt
set(23,-1750,54950,-90)p

set(23,-18550,54950,90)p
set(29,-20714,54950,90)pr
set(23,-22878,54950,-90)p

set(23,-46550,54950,90)p
chk(40,-46550,54950,90)
set(14,-48300,54950,0)pt
set(23,-48300,53200,0)p


set(23,-48300,43900,180)p
set(31,-48300,40591,180)pr
set(23,-48300,38911,0)p

fix(41,-44000,33000,-4000,0)

set(24,-48300,25200,0)p
set(16,-48300,22400,0)p
set(15,-48300,16800,0)p
set(34,-48300,16800,0)
set(15,-48300,11200,0)p
set(16,-48300,5600,0)p
set(15,-48300,0,0)p
set(17,-48300,-4550,90)pt
set(24,-46550,-4550,-90)p

set(24,-24150,-4550,90)p
set(44,-21350,-4550,90)
set(34,-21350,-4550,90)pr
set(43,-15750,-4550,-90)p
set(44,-10150,-4550,-90)p
chk(42,-7350,-4550,90)
set(17,-5600,-4550,180)pt
set(44,-5600,0,180)p
set(43,-5600,5600,0)p
set(43,-5600,11200,0)p
set(35,-5200,11200,0)
set(44,-5600,16800,0)
set(35,-6000,16800,180)pr
set(24,-5600,19600,0)p


set(24,-5600,42000,180)p
set(15,-5600,44800,0)
set(35,-5200,44800,0)pr
chk(42,-5600,47600,0)

//where the real fix below layed...

set(17,-5600,49350,-90)pt
set(20,-10150,49350,90)p

set(23,-12950,49350,-90)p

set(23,-24150,49350,90)p
set(10,-26950,49350,90)
set(26,-26950,49350,90)pr
set(10,-32550,49350,90)p
set(10,-38150,49350,-90)p
set(30,-36000,49350,-90)p
chk(40,-40950,49350,90)
set(14,-42700,49350,0)pt

set(23,-45000,48200,0)
set(23,-45000,48200,180)
set(37,-45000,48800,90)
set(37,-45000,47600,90)

set(23,-42700,47600,0)p

set(23,-42700,39200,180)
set(23,-42700,39200,0)
set(27,-42700,39200,180)pr

set(23,-45500,23000,90)
set(23,-45500,23000,-90)
set(37,-44600,23000,0)
set(37,-45800,23000,0)
set(23,-39900,23000,90)
set(23,-39900,23000,-90)
set(37,-39600,23000,0)
set(37,-40800,23000,0)


set(23,-42700,25200,180)p
set(10,-42700,22400,0)
set(27,-42700,22400,180)pr
set(23,-42700,19600,0)p

set(23,-42700,2800,180)p
set(37,-42700,3800,0)

set(14,-42700,1050,90)pt
set(10,-38150,1050,90)p
set(10,-32550,1050,-90)p 
set(37,-35350,1050,90)
set(10,-26950,1050,-90)
chk(40,-31000,1050,90)
set(28,-26950,1050,-90)pr
set(10,-21350,1050,90)p
set(22,-17990,1050,90)p
set(22,-16870,1050,-90)
set(22,-15750,1050,90)
set(22,-14630,1050,-90)
set(22,-13510,1050,90)
set(19,-11200,1050,180)pt
set(18,-11200,5600,180)
set(36,-9390,3100,-90)ph
set(36,-9390,5060,-90)
set(18,-11200,11200,180)p
set(22,-11200,14560,0)

set(23,-11200,15120,180)
chk(40,-11200,14000,0)
set(32,-11200,16400,0)p


set(23,-11200,40880,0)
set(22,-11200,41440,180)p 
set(19,-11200,43750,-90)pt
set(18,-15750,43750,90)p
set(36,-13250,45560,0)
set(36,-15210,45560,0)
set(36,-17170,45560,0)ph
set(18,-21350,43750,-90)p
set(18,-26950,43750,90)p
set(22,-30310,43750,90)
chk(40,-30310,43750,90)
set(23,-30870,43750,-90)

set(23,-37100,31920,180)p 
set(22,-37100,31360,0)
set(18,-37100,28000,0)p
set(36,-35290,28000,-90)
set(36,-35290,26040,-90)ph
set(18,-37100,22400,0)p
set(21,-37100,16800,0)p
fix(41,-36000,22400,-2000,0)

set(15,-37100,11200,0)p
chk(42,-37100,8400,0)
set(17,-37100,6650,90)pt
set(24,-35350,6650,-90)p


set(24,-18550,6650,90)p
chk(42,-18550,6650,90)
set(17,-16800,6650,180)pt
set(24,-16800,8400,0)p


set(24,-16800,19600,180)p
set(16,-16800,22400,0)p
set(15,-16800,28000,0)p
set(33,-16800,25200,180)
set(15,-16800,33600,0)p
set(33,-16800,28000,180)
chk(42,-16800,36400,0)
set(17,-16800,38150,-90)pt


set(15,-21350,38150,90)p
set(15,-26950,38150,90)p
set(17,-31500,38150,0)pt
set(15,-31500,33600,0)p
set(15,-31500,28000,0)p
set(35,-31200,33200,0)
set(35,-31800,30400,0)
set(15,-31500,22400,180)p
set(15,-31500,16800,0)p
set(17,-31500,12250,90)pt

chk(42,-28350,12250,90)
set(15,-26950,12250,90)p

set(17,-22400,12250,180)pt
set(15,-22400,16800,0)
set(35,-22400,16800,0)pr
set(15,-22400,22400,0)p
set(15,-22400,28000,0)p
set(17,-22400,32550,-90)pt


set(24,-25900,52150,90)po
set(24,-25900,52150,-90)

set(24,-25900,46550,0)p
set(24,-25900,46550,180)
set(35,-25900,46550,0) 

set(24,-25900,40950,0)p
set(24,-25900,40950,180)

set(24,-25900,35350,-90)p
set(24,-25900,35350,90)
set(33,-25900,35350,0) 

set(17,-25900,32550,0)pt
set(15,-25900,28000,0)p
set(15,-25900,22400,0)p

set(15,-25900,16800,0)p
set(24,-25900,14000,180)
set(34,-25900,15000,180)pr
fix(41,-25900,4000,-2600,0)

//the real fix added here for count and "istr" in control... 
fix(41,-5400,48800,-1350,0)s //50000,-1400 // 47600,-1300 // what?

set(24,-25900,9450,-90)p
set(24,-25900,9450,90)

set(23,-25900,3850,90)p
set(23,-25900,3850,-90)
set(37,-25300,3850,90)
set(37,-26500,3850,90)


set(23,-25900,-8400,180)p
set(10,-25900,-11200,180)p
chk(40,-25900,-14000,0)
set(14,-25900,-15750,90)pt
set(23,-24150,-15750,90)p

set(23,-1750,-15750,-90)
chk(40,-1750,-15750,90)
set(14,0,-15750,180)pt
set(10,0,-11200,0)p
set(10,0,-5600,180)p


set(71,2656,7024,0)
set(72,-2289,6863,180)
set(70,1690,12828,-90)
set(70,-3002,30275,0)
set(70,3001,42581,90)
set(70,-12054,52873,180)
set(70,-34054,56326,-90)
set(70,-47312,59592,0)
set(70,-52634,44912,90)
set(70,-45944,31563,-90)
set(70,-44274,10027,0)
set(70,-49357,-6968,90)
set(70,-30987,-2920,180)
set(70,-18032,-10088,-90)
set(70,4593,-8903,0)
set(71,-2724,-1537,90)
set(71,4668,23591,-90)
set(71,-2599,38504,0)
set(71,-317,58025,90)
set(71,-19513,58318,180)
set(71,-43909,51438,-90)
set(71,-51846,22166,90)
set(71,-33003,-9347,180)
set(71,-53832,9559,-90)
set(71,-6777,-14258,90)
set(72,-6814,-17218,-90)
set(72,-2815,18838,0)
set(72,4033,46969,90)
set(72,-9596,58191,180)
set(72,-31206,51802,-90)
set(72,-45742,40152,0)
set(72,-51576,34606,180)
set(72,-51536,-261,-90)
set(72,-40610,-2022,0)
set(72,-28994,-12691,90)
set(72,-3445,-7186,180)
set(65,-8519,12706,-90)
set(65,-13607,41369,0)
set(65,-21648,51791,180)
set(65,-38370,46071,-90)
set(65,-35056,31254,0)
set(65,-40261,11943,90)
set(65,-26021,7630,180)
set(65,-13758,18654,-90)
set(66,-16280,-1515,0)
set(66,-14525,5575,90)
set(66,-11720,29040,180)
set(66,-9568,46880,0)
set(66,-31264,46312,90)
set(66,-40040,33756,-90)
set(66,-35380,21736,0)
set(66,-33640,9320,90)
set(66,-19536,3308,180)
set(67,-8124,-2536,0)
set(67,-12184,24444,90)
set(67,-10236,46736,180)
set(67,-32448,41526,-90)
set(67,-39483,34783,0)
set(67,-39738,17654,90)
set(67,-39531,3449,180)
set(68,-11148,20446,-90)
set(68,-20811,45575,0)
set(69,-33915,40270,90)
set(68,-31700,4920,180)
set(69,-11824,33436,-90)
set(69,-18900,9100,0)
set(73,-19525,11325,0)
set(73,-16550,15575,90)
set(73,-20975,33100,180)
set(73,-21000,35725,-90)
set(73,-28800,33125,0)
set(73,-28400,27100,90)
set(73,-34075,23625,180)
set(73,-29275,22800,-90)
set(73,-28800,16100,0)
set(73,-24050,14275,90)
set(73,-24225,20275,180)
set(73,-23975,30650,-90)
set(73,-33800,19550,0)
set(73,-23075,9997,90)
set(73,-18963,21392,180)
set(74,-19395,16491,-90)
set(74,-19463,26824,0)
set(74,-18885,31137,90)
set(74,-22919,34137,180)
set(74,-25306,36827,-90)
set(74,-29548,34834,0)
set(74,-24494,30332,90)
set(74,-29152,27289,180)
set(74,-29030,17507,-90)
set(74,-27942,20374,0)
set(74,-29333,10262,90)
set(74,-19412,13980,180)
set(74,-18426,24031,-90)
set(75,-23429,7561,0)
set(75,-19752,19799,90)
set(75,-20327,25170,180)
set(75,-19861,34884,-90)
set(75,-28690,36166,0)
set(75,-28840,24677,90)
set(75,-28755,30228,180)
set(75,-23956,30036,-90)
set(75,-23980,24368,0)
set(75,-29352,14348,90)
set(75,-27939,8509,180)
set(75,-24259,16885,-90)
set(75,-24094,22367,0)
set(75,-23984,26988,90)
set(75,-27017,33011,180)
set(75,-17842,14346,-90)
pile(3090,5,4,-6160,-11700)
pile(3983,5,4,-4560,-11420)
pile(4403,4,6,-5880,-10500)
pile(3357,4,6,-3400,-12980)
pile(4846,4,6,3120,-3980)
pile(8361,4,6,2680,-1820)
pile(7255,3,2,3840,-2620)
pile(4830,6,6,2400,-3140)
pile(8865,6,6,-1360,12380)
pile(8701,6,6,-2560,13540)
pile(8093,6,6,3360,29820)
pile(8742,4,5,3000,28700)
pile(3894,4,5,2280,32060)
pile(381,4,5,-2340,41760)
pile(6499,4,5,-2140,40320)
pile(9496,4,5,-1180,42200)
pile(1650,5,2,-2100,43320)
pile(9313,5,2,3000,55040)
pile(4659,5,2,1680,57200)
pile(971,5,2,2920,56160)
