
name(Grapefruit Power)

snap(-2,20,-21)
sky(224,225,255)
fog(215,190,182)
clouds(255,166,166,5,-593)
ground(206,181,167)
texture(33,143,216,20)
fadefrom(5000)
density(8)
mountains(186)

nlaps(1)

set(48,0,0,0)p
set(15,0,5600,180)p
set(15,0,11200,180)p
set(35,0,11200,0)pr
set(15,0,16800,0)p
set(15,0,22400,180)p
set(35,0,20000,180)pr
set(15,0,28000,0)p
set(35,0,29000,0)pr
set(15,0,33600,0)p
set(15,0,39200,0)p
chk(42,0,42000,0)
set(17,0,43750,0)pt
set(15,4550,43750,90)p
set(16,10150,43750,-90)p
set(15,15750,43750,90)p
set(34,15750,43750,90)pr
set(15,21350,43750,-90)p
set(15,26950,43750,90)p
set(15,32550,43750,-90)p
set(17,37100,43750,180)pt
set(17,37100,47250,-90)pt
chk(42,35350,47250,90)
set(15,32550,47250,90)p
set(15,26950,47250,90)p
set(35,26950,47050,90)pr
set(35,24000,47450,-90)pr
set(15,21350,47250,90)p
set(15,15750,47250,-90)p
set(15,10150,47250,90)p
set(16,4550,47250,-90)p
set(16,-1050,47250,90)p
set(15,-6650,47250,-90)p
set(15,-12250,47250,90)p
set(15,-17850,47250,-90)p
set(15,-23450,47250,90)p
set(16,-29050,47250,90)p

set(33,-8000,47250,90)
set(33,-13000,47250,90)
set(33,-18000,47250,90)
set(33,-23000,47250,90)

set(17,-33600,47250,0)pt
chk(42,-33600,45500,0)
set(17,-33600,43750,90)pt
set(15,-29050,43750,90)p
set(15,-23450,43750,90)p
set(34,-23450,43750,90)pr
set(15,-17850,43750,90)p
set(15,-12250,43750,90)p
set(17,-7700,43750,-90)pt
chk(42,-7700,42000,0)
set(15,-7700,39200,0)p
set(20,-7700,33600,180)p
set(10,-7700,28000,0)p
set(30,-7700,21891,180)p
fix(41,-7700,19500,-600,0)

set(23,-7700,20211,0)p
set(23,-7700,14000,180)p
set(10,-7700,11200,180)p
set(10,-7700,5600,0)p
set(14,-7700,1050,180)pt
chk(40,-9450,1050,90)
set(20,-12250,1050,-90)p
set(17,-16800,1050,90)pt
set(15,-16800,5600,0)p
set(15,-16800,11200,0)p
set(15,-16800,16800,0)p
set(15,-16800,22400,0)p
set(15,-16800,28000,0)p

set(35,-16400,11200,0)
set(35,-17200,16200,180)
set(35,-16300,22200,180)
set(35,-17300,22200,0)

set(17,-16800,32550,-90)pt
set(17,-20300,32550,0)pt
set(15,-20300,28000,0)p
set(15,-20300,22400,0)
chk(42,-20300,22400,0)
set(15,-20300,16800,0)p
set(15,-20300,11200,0)p
set(15,-20300,5600,0)p
set(15,-20300,0,0)p
set(17,-20300,-4550,90)pt
set(15,-15750,-4550,-90)p
set(15,-10150,-4550,-90)p
set(34,-10150,-4550,-90)
set(15,-4550,-4550,-90)p
chk(42,0,-2800,0)
set(17,0,-4550,180)

set(23,10000,2800,0)
set(10,10000,5600,0)p
set(10,10000,11200,0)p
set(10,10000,16800,180)p
set(26,10000,20200,0)pr
fix(41,10000,24000,-1400,0)s
set(23,10000,27200,0)p
set(10,10000,30000,0)
set(23,10000,32800,180)p


set(23,25000,2800,0)
set(10,25000,5600,0)
set(10,25000,11200,180)
set(10,25000,16800,0)
set(28,25000,21764,0)
set(10,25000,26728,0)
set(10,25000,32328,0)
set(23,25000,35128,180)


set(70,2925,7400,0)
set(70,-4850,18500,90)
set(71,-13562,4004,180)
set(72,-12932,15386,0)
set(72,8026,37492,90)
set(71,-7682,45136,180)
set(71,-3676,13158,-90)
set(71,12956,22372,0)
set(71,13880,40426,90)
set(70,32258,40720,180)
set(70,12231,45626,-90)
set(71,-30609,40909,0)
set(72,-18486,36551,90)
set(72,-24642,26103,180)
