
name(He Is Coming For You Next)

snap(21,5,-40)
sky(198,201,255)
fog(209,184,174)
clouds(255,255,255,10,-1156)
ground(198,187,165)
texture(138,78,63,23)
fadefrom(5000)
density(4)
mountains(98102)

nlaps(9)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)p
set(26,0,11200,0)pr
set(10,0,16800,0)p
set(30,0,20880,180)p
set(10,0,26989,0)p
set(10,0,32589,180)
chk(40,0,32589,0)
set(14,0,37139,-90)pt
set(10,-4550,37139,90)p
set(26,-6000,37139,90)pr
set(10,-10150,37139,90)p
set(10,-15750,37139,90)p
set(37,-10000,37239,90)
set(37,-11000,37039,90)
set(37,-12000,37239,90)
set(37,-13000,37039,90)
set(37,-14000,37239,90)
set(37,-15000,37039,90)
set(10,-21350,37139,90)p
chk(40,-24150,37139,90)
set(14,-25900,37139,0)pt
set(10,-25900,32589,0)p
set(10,-25900,26989,0)p
set(29,-25900,22025,0)p
set(10,-25900,17061,0)p
set(10,-25900,11461,0)p
set(10,-25900,5861,0)p

set(38,-25900,16000,0)
set(38,-25900,14000,0)
set(38,-25900,12000,0)
set(38,-25900,10000,0)
set(38,-25900,8000,0)
set(38,-25900,6000,0)

set(10,-25900,0,0)p
set(33,-25900,3000,180)

set(10,-25900,-5600,0)p
chk(40,-25900,-8400,0)
set(14,-25900,-10150,90)pt
set(10,-21350,-10150,90)p
set(10,-15750,-10150,90)
set(27,-17750,-10150,-90)pr
set(10,-10150,-10150,90)p
set(10,-4550,-10150,90)p
set(14,0,-10150,180)pt
set(10,0,-5600,0)
chk(40,0,-5600,0)

set(24,-6000,-2800,180)
set(15,-6000,0,0)
set(16,-6000,5600,0)
set(15,-6000,11200,0)
set(16,-6000,16800,180)
set(16,-6000,22400,0)
set(15,-6000,28000,0)
set(24,-6000,30800,0)


set(24,-19900,-2800,180)
set(16,-19900,0,0)
set(15,-19900,5600,0)
set(15,-19900,11200,0)
set(16,-19900,16800,180)
set(15,-19900,22400,0)
set(15,-19900,28000,0)
set(24,-19900,30800,0)

set(24,-12950,-2800,180)po
set(15,-12950,0,0)p
set(15,-12950,5600,0)p
set(15,-12950,11200,0)p
set(35,-12950,11400,0)pr
fix(41,-12950,14000,-1000,0)s
set(15,-12950,16800,180)
set(35,-12950,16410,0)
set(15,-12950,22400,0)
set(16,-12950,28000,0)
set(24,-12950,30800,0)po


set(73,-3675,-2850,90)
set(73,2075,-2425,180)
set(73,-2325,3025,-90)
set(74,-2850,2450,0)
set(75,1652,1840,90)
set(75,-4548,-6068,-90)
set(74,-3516,-7388,0)
set(74,2129,7444,180)
set(74,-1978,8702,-90)
set(74,-3310,7740,0)
set(73,-3014,12624,90)
set(73,-2866,23687,180)
set(73,-2607,24797,-90)
set(73,-16257,26388,90)
set(73,-16960,24760,180)
set(74,-10485,24131,-90)
set(74,-9338,22022,0)
set(74,-15406,12355,90)
set(73,-8450,12207,180)
set(73,-17330,11911,-90)
set(73,-23254,14501,0)
set(74,-23032,-552,90)
set(74,-23661,-1440,180)
set(74,-23254,-5029,-90)
set(74,-27939,3629,0)
set(75,-27791,9438,90)
set(75,-26940,16995,180)
set(75,-13160,-11231,90)
set(74,-22193,-11282,180)
set(74,-10024,8766,-90)
set(74,-11837,35123,0)
set(75,-13673,35650,90)
set(75,-8760,35446,180)
set(75,-4357,33864,-90)
set(65,-23265,34510,0)
set(65,-16486,20612,90)
set(65,-2466,17806,180)
set(65,1806,23530,-90)
set(66,-23830,14551,0)
set(66,-14367,-6649,90)
set(67,-8151,38289,180)
set(67,-27977,5102,-90)
set(68,-27756,-6350,0)
set(68,-3810,35095,90)
set(69,-8731,-6320,180)
set(69,-24041,25099,-90)
set(74,-21619,-6956,90)
set(74,-20327,-6871,180)
set(75,-20327,-5290,-90)
set(75,-14200,38475,0)
set(75,-21950,35675,90)
set(75,-23225,21950,180)
set(75,-16550,4425,-90)
set(73,-17100,1375,0)
pile(2238,4,6,-5875,-6675)
pile(4572,3,4,-4400,-6350)
pile(4096,2,5,-3020,-6856)
pile(7176,2,5,-3326,-991)
pile(492,2,5,-3071,-1960)
pile(7979,2,5,-3734,386)
pile(8074,2,5,-10364,233)
pile(8520,2,5,-8681,437)
pile(1909,2,5,-9038,5129)
pile(1753,5,3,-9701,2018)
pile(5164,6,3,-13118,-6601)
pile(8281,3,5,-3064,5348)
pile(4445,3,5,1769,1595)
pile(7248,5,4,2660,2783)
pile(9989,4,4,3038,1352)
pile(3854,3,4,2228,-6230)
pile(9460,3,4,2984,-5744)
pile(7051,3,4,-2065,9621)
pile(7869,3,5,-2956,10377)
pile(7689,2,5,-3307,9216)
pile(1036,2,5,2770,4740)
pile(3826,6,4,1670,12825)
pile(6497,3,3,-3335,16535)
pile(116,3,3,-3500,18295)
pile(9297,3,3,2550,17855)
pile(7268,3,3,2220,20660)
pile(7916,6,4,1780,19175)
pile(9656,6,4,-3185,28510)
pile(3767,2,4,-3460,26585)
pile(7432,2,4,-8905,34120)
pile(4803,2,4,-9015,31920)
pile(8494,2,4,-10720,31205)
pile(7624,6,3,-10225,32910)
pile(3914,5,3,-10390,21525)
pile(432,2,3,-10060,26090)
pile(7506,2,3,-10225,23010)
pile(1024,2,3,-8580,13005)
pile(6577,2,3,-10065,15370)
pile(6369,2,3,-9570,13940)
pile(2885,6,4,-15675,8605)
pile(2740,4,3,-17160,10090)
pile(4835,3,4,-16225,1300)
pile(3393,3,4,-17105,2620)
pile(108,4,4,-17710,-2330)
pile(751,4,4,-20185,-7390)
pile(6228,4,4,-19305,-5850)
pile(3247,5,5,-28285,-3980)
pile(3614,5,5,-27955,-8325)
pile(6183,2,5,-17395,-11570)
pile(9421,2,5,-9695,-11570)
pile(9880,2,5,-28175,1355)
pile(5631,2,5,-29055,4710)
pile(5582,3,3,-29165,-1340)
pile(4863,3,3,-28505,3665)
pile(6141,3,3,-22725,2950)
pile(9324,3,3,-23000,1135)
pile(7111,3,3,-23990,2785)

pile(4928,4,3,-22615,9495)
pile(5956,4,3,-23495,6690)
pile(9322,4,3,-28445,8725)
pile(1150,2,5,-23770,15930)
pile(3829,2,5,-22560,15270)
pile(6381,2,5,-28720,14060)
pile(7068,2,5,-28665,12410)
pile(6883,2,5,-18015,34715)
pile(1254,2,5,-16860,33010)
pile(6054,2,5,-15705,34165)
pile(2198,3,5,-16255,26905)
pile(8563,3,5,-15320,29985)
pile(570,3,5,-23350,31965)
pile(1911,3,5,-22305,32295)
pile(4713,3,5,-22800,22285)
pile(5933,3,5,-22855,25365)
pile(8047,3,5,-22525,23550)
pile(4452,3,5,-16560,21385)
pile(3445,3,5,-16065,19900)
pile(7257,6,3,-21235,34605)
pile(8651,6,3,-28110,33560)
pile(9453,6,3,-27945,26025)
pile(8106,4,4,-7375,38620)
