
name(The Beach Arcade Dream)

snap(20,-20,-20)
sky(191,214,255)
fog(199,187,205)
clouds(255,255,255,2,-1343)
ground(198,195,188)
texture(189,94,49,22)
fadefrom(7000)
density(6)
mountains(76039)

nlaps(3)

set(47,0,0,0)p
set(10,0,5600,0)p
set(22,0,8960,180)p
set(18,0,12320,0)p
set(18,0,17920,0)p
set(36,-1810,19000,90)ph
set(18,0,23520,0)p
set(22,0,26880,0)p
set(10,0,30240,0)p
chk(40,0,33040,0)
set(14,0,34790,0)
set(10,4550,34790,90)p
set(10,10150,34790,90)p
set(10,15750,34790,90)p
set(10,21350,34790,90)p
set(10,26950,34790,90)p
set(23,29750,34790,90)
set(26,29750,34790,-90)pr

set(23,35490,34790,-90)
set(26,35490,34790,90)pr
set(10,38290,34790,-90)p
set(14,42840,34790,-90)pt
set(22,42840,32480,0)p
set(18,42840,29120,0)p
set(19,42840,24570,180)pt
set(22,40530,24570,90)p
chk(40,39970,24570,90)
set(10,37170,24570,90)p
set(14,32620,24570,90)pt
set(10,32620,29120,180)p
set(23,32620,31920,180)
set(26,32620,31920,0)pr

set(23,32620,37660,0)
set(26,32620,37660,180)pr
set(10,32620,40460,0)p


set(10,32620,46060,0)p
set(14,32620,50610,-90)pt
set(10,28070,50610,-90)
chk(40,28070,50610,90)
set(14,23520,50610,0)pt
set(10,23520,46060,0)p
set(31,23520,39951,180)pr
set(23,23520,38271,0)

fix(41,23520,30000,-3500,0)s

set(23,23520,31309,180)p
set(31,23520,29629,0)p
set(10,23520,23520,180)p
set(10,23520,17920,180)p
set(22,23520,14560,0)
set(18,23520,11200,0)p
set(18,23520,5600,0)p
set(18,23520,0,0)p
set(18,23520,-5600,0)p
set(22,23520,-8960,180)
set(22,23520,-10080,0)
chk(40,23520,-9520,0)
set(19,23520,-12390,180)pt
set(18,18970,-12390,90)p
set(18,13370,-12390,90)p

set(25,12300,-10930,0)
set(36,12300,-9820,0)ph
set(25,12300,-13850,180)
set(36,12300,-14960,180)

set(25,10340,-10930,0)
set(36,10340,-9820,0)
set(25,10340,-13850,180)
set(36,10340,-14960,180)

set(25,8380,-10930,0)
set(36,8380,-9820,0)
set(25,8380,-13850,180)
set(36,8380,-14960,180)

set(18,7770,-12390,90)p
set(18,2170,-12390,90)

set(25,6420,-10930,0)
set(36,6420,-9820,0)
set(25,6420,-13850,180)
set(36,6420,-14960,180)ph

set(25,4460,-10930,0)
set(36,4460,-9820,0)
set(25,4460,-13850,180)
set(36,4460,-14960,180)ph

set(25,2500,-10930,0)
set(36,2500,-9820,0)
set(25,2500,-13850,180)
set(36,2500,-14960,180)ph

set(18,-3430,-12390,90)
set(18,-5490,-12390,90)
chk(40,-7240,-12390,90)
set(19,-10040,-12390,90)pt

set(21,-10040,-7840,180)p
set(15,-10040,-2240,0)
set(15,-10040,60,0)p
set(15,-10040,5660,0)p
set(15,-10040,11260,0)p
set(15,-10040,16860,0)p
set(15,-10040,22460,0)p
set(15,-10040,28060,0)p
set(15,-10040,33660,0)p
set(15,-10040,39260,0)p
set(17,-10040,43810,0)pt
chk(42,-8290,43810,90)
set(17,-6540,43810,-90)pt
set(15,-6540,39260,0)p
set(15,-6540,33660,0)p
set(16,-6540,28060,0)p
set(15,-6540,22460,0)p
set(15,-6540,16860,180)p
set(16,-6540,11260,180)p
set(20,-6540,5660,180)p
set(13,-5020,30,30)p
set(14,-3500,-4550,90)pt
chk(40,-1750,-4550,90)
set(14,0,-4550,180)pt


set(33,-10040,60,0)
set(33,-10040,5660,0)
set(33,-10040,11260,0)
set(33,-10040,16860,0)
set(33,-10040,22460,0)
set(33,-10040,28060,0)
set(33,-10040,33660,0)
set(33,-10040,39260,0)

set(35,-6140,22460,0)
set(35,-6940,16860,180)

set(17,5000,28350,0)
set(15,9550,28350,90)
set(17,14100,28350,-90)
set(15,14100,23800,0)
set(15,14100,18200,0)
set(15,14100,12600,0)
set(34,14100,12600,0)
set(15,14100,7000,0)
set(15,14100,1400,0)

set(17,5000,-3150,90)
set(15,9550,-3150,90)
set(17,14100,-3150,180)

set(15,5000,1400,180)po
set(15,5000,7000,180)p
set(15,5000,12600,0)p
set(15,5000,18200,0)p
set(34,5000,20000,180)
fix(41,5000,23800,-2000,0)s
set(15,5000,23800,0)p


set(68,1985,515,0)
set(68,-3345,15355,90)
set(68,19585,28025,180)
set(68,-2200,40355,-90)
set(68,12390,50545,0)
set(68,28290,42460,90)
set(68,35270,17375,180)
set(68,29970,-7445,-90)
set(69,10435,16845,0)
set(69,17290,-5235,90)
set(69,-8265,29690,180)
set(69,-2975,7280,-90)
set(69,-6620,-9530,0)
set(69,7670,31735,90)
set(67,-2440,305,-90)
set(67,2415,18235,0)
set(67,12405,26290,90)
set(67,27075,40285,180)
set(67,37865,26465,-90)
set(67,38315,46645,0)
set(67,27595,12750,90)
set(67,-2395,-14800,180)
set(67,-11690,14595,-90)
set(66,-12215,4515,0)
set(66,9705,3535,90)
set(66,4285,37015,180)
set(66,29825,28935,-90)
set(66,19590,46250,0)
set(65,12145,-6280,180)
set(65,2995,30525,-90)
set(65,11175,43565,0)
set(65,29855,45910,90)
set(65,36300,26700,180)
set(65,21018,14920,-90)
set(65,15502,-14340,0)
set(70,8085,3880,90)
set(70,15180,37035,-90)
